#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Configuration
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
solver name          = DefaultSolver
random seed          = 123
number of runs       = 1

solver type         = GA
stop criteria       = MaxEvaluations 500000.0

problem name        = real.multimodal.Vincent 2
population type     = MultiPopulation 64

selection           = NoSelection
recombination       = real.MuAX 0.75 0.5
mutation            = real.MuGauss -1.0 0.01
replacement         = ClearingBest
rescaling           = AdaptiveCeiling 1.5

statistic           = Generation
statistic           = PeekRatio
statistic           = PeekSucessRate
statistic           = PeeksFound
statistic           = PeeksFuncsCall
statistic           = FunctionCalls

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Evolution 
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
#START_TIME 2020/02/04 17:39:03:146
START_TIME 1580837943146
RUNNING_TIME 0
                               Generation            PeekRatio       PeekSucessRate           PeeksFound       PeeksFuncsCall        FunctionCalls
STATISTIC 0                             0                    0                    0                    0                    0                    0
STATISTIC 1                            14  2.77777777777778E-02                    0                    1                    0                 1125
STATISTIC 2                            29  0.05555555555555555                    0                    2                    0                 2573
STATISTIC 3                            43   0.1111111111111111                    0                    4                    0                 3990
STATISTIC 4                            58  0.16666666666666666                    0                    6                    0                 5587
STATISTIC 5                            72  0.16666666666666666                    0                    6                    0                 7055
STATISTIC 6                            87   0.2222222222222222                    0                    8                    0                 8692
STATISTIC 7                           101   0.3333333333333333                    0                   12                    0                10212
STATISTIC 8                           116   0.3888888888888889                    0                   14                    0                11944
STATISTIC 9                           130   0.4444444444444444                    0                   16                    0                13475
STATISTIC 10                          145   0.4444444444444444                    0                   16                    0                15084
STATISTIC 11                          159   0.4444444444444444                    0                   16                    0                16628
STATISTIC 12                          174   0.4444444444444444                    0                   16                    0                18226
STATISTIC 13                          188   0.4722222222222222                    0                   17                    0                19709
STATISTIC 14                          203   0.4722222222222222                    0                   17                    0                21407
STATISTIC 15                          217   0.4722222222222222                    0                   17                    0                22984
STATISTIC 16                          232   0.4722222222222222                    0                   17                    0                24673
STATISTIC 17                          247                  0.5                    0                   18                    0                26395
STATISTIC 18                          261                  0.5                    0                   18                    0                27988
STATISTIC 19                          276                  0.5                    0                   18                    0                29686
STATISTIC 20                          290                  0.5                    0                   18                    0                31277
STATISTIC 21                          305                  0.5                    0                   18                    0                32983
STATISTIC 22                          319                  0.5                    0                   18                    0                34606
STATISTIC 23                          334   0.5277777777777778                    0                   19                    0                36359
STATISTIC 24                          348   0.5277777777777778                    0                   19                    0                37969
STATISTIC 25                          363   0.5277777777777778                    0                   19                    0                39700
STATISTIC 26                          377   0.5277777777777778                    0                   19                    0                41341
STATISTIC 27                          392   0.5277777777777778                    0                   19                    0                43086
STATISTIC 28                          406   0.5277777777777778                    0                   19                    0                44762
STATISTIC 29                          421   0.5555555555555556                    0                   20                    0                46454
STATISTIC 30                          435   0.5833333333333334                    0                   21                    0                48070
STATISTIC 31                          450   0.5833333333333334                    0                   21                    0                49724
STATISTIC 32                          465   0.5833333333333334                    0                   21                    0                51401
STATISTIC 33                          479   0.5833333333333334                    0                   21                    0                52966
STATISTIC 34                          494   0.5833333333333334                    0                   21                    0                54646
STATISTIC 35                          508   0.5833333333333334                    0                   21                    0                56245
STATISTIC 36                          523   0.5833333333333334                    0                   21                    0                57890
STATISTIC 37                          537   0.5833333333333334                    0                   21                    0                59458
STATISTIC 38                          552   0.5833333333333334                    0                   21                    0                61127
STATISTIC 39                          566   0.5833333333333334                    0                   21                    0                62707
STATISTIC 40                          581   0.5833333333333334                    0                   21                    0                64457
STATISTIC 41                          595   0.5833333333333334                    0                   21                    0                66106
STATISTIC 42                          610   0.6111111111111112                    0                   22                    0                67829
STATISTIC 43                          624   0.6111111111111112                    0                   22                    0                69424
STATISTIC 44                          639   0.6111111111111112                    0                   22                    0                71178
STATISTIC 45                          653   0.6388888888888888                    0                   23                    0                72798
STATISTIC 46                          668   0.6388888888888888                    0                   23                    0                74567
STATISTIC 47                          682   0.6388888888888888                    0                   23                    0                76232
STATISTIC 48                          697   0.6388888888888888                    0                   23                    0                78015
STATISTIC 49                          712   0.6388888888888888                    0                   23                    0                79741
STATISTIC 50                          726   0.6388888888888888                    0                   23                    0                81346
STATISTIC 51                          741   0.6388888888888888                    0                   23                    0                83046
STATISTIC 52                          755   0.6388888888888888                    0                   23                    0                84687
STATISTIC 53                          770   0.6388888888888888                    0                   23                    0                86393
STATISTIC 54                          784   0.6388888888888888                    0                   23                    0                88010
STATISTIC 55                          799   0.6388888888888888                    0                   23                    0                89769
STATISTIC 56                          813   0.6388888888888888                    0                   23                    0                91416
STATISTIC 57                          828   0.6388888888888888                    0                   23                    0                93174
STATISTIC 58                          842   0.6388888888888888                    0                   23                    0                94792
STATISTIC 59                          857   0.6388888888888888                    0                   23                    0                96517
STATISTIC 60                          871   0.6388888888888888                    0                   23                    0                98135
STATISTIC 61                          886   0.6388888888888888                    0                   23                    0                99876
STATISTIC 62                          900   0.6388888888888888                    0                   23                    0               101502
STATISTIC 63                          915   0.6388888888888888                    0                   23                    0               103213
STATISTIC 64                          930   0.6388888888888888                    0                   23                    0               104999
STATISTIC 65                          944   0.6944444444444444                    0                   25                    0               106672
STATISTIC 66                          959   0.6944444444444444                    0                   25                    0               108400
STATISTIC 67                          973   0.6944444444444444                    0                   25                    0               110010
STATISTIC 68                          988   0.6944444444444444                    0                   25                    0               111755
STATISTIC 69                         1002   0.6944444444444444                    0                   25                    0               113405
STATISTIC 70                         1017   0.6944444444444444                    0                   25                    0               115173
STATISTIC 71                         1031   0.6944444444444444                    0                   25                    0               116848
STATISTIC 72                         1046   0.6944444444444444                    0                   25                    0               118581
STATISTIC 73                         1060   0.6944444444444444                    0                   25                    0               120192
STATISTIC 74                         1075   0.6944444444444444                    0                   25                    0               121919
STATISTIC 75                         1089   0.7222222222222222                    0                   26                    0               123512
STATISTIC 76                         1104   0.7222222222222222                    0                   26                    0               125233
STATISTIC 77                         1118   0.7222222222222222                    0                   26                    0               126926
STATISTIC 78                         1133   0.7222222222222222                    0                   26                    0               128651
STATISTIC 79                         1148   0.7222222222222222                    0                   26                    0               130393
STATISTIC 80                         1162   0.7222222222222222                    0                   26                    0               132002
STATISTIC 81                         1177   0.7222222222222222                    0                   26                    0               133731
STATISTIC 82                         1191   0.7222222222222222                    0                   26                    0               135373
STATISTIC 83                         1206                 0.75                    0                   27                    0               137118
STATISTIC 84                         1220                 0.75                    0                   27                    0               138739
STATISTIC 85                         1235                 0.75                    0                   27                    0               140498
STATISTIC 86                         1249                 0.75                    0                   27                    0               142115
STATISTIC 87                         1264                 0.75                    0                   27                    0               143851
STATISTIC 88                         1278                 0.75                    0                   27                    0               145417
STATISTIC 89                         1293                 0.75                    0                   27                    0               147132
STATISTIC 90                         1307                 0.75                    0                   27                    0               148723
STATISTIC 91                         1322                 0.75                    0                   27                    0               150417
STATISTIC 92                         1336                 0.75                    0                   27                    0               152076
STATISTIC 93                         1351                 0.75                    0                   27                    0               153828
STATISTIC 94                         1365                 0.75                    0                   27                    0               155446
STATISTIC 95                         1380                 0.75                    0                   27                    0               157131
STATISTIC 96                         1395                 0.75                    0                   27                    0               158849
STATISTIC 97                         1409                 0.75                    0                   27                    0               160474
STATISTIC 98                         1424                 0.75                    0                   27                    0               162201
STATISTIC 99                         1438                 0.75                    0                   27                    0               163788
STATISTIC 100                        1453                 0.75                    0                   27                    0               165548
STATISTIC 101                        1467                 0.75                    0                   27                    0               167171
STATISTIC 102                        1482   0.7777777777777778                    0                   28                    0               168872
STATISTIC 103                        1496   0.7777777777777778                    0                   28                    0               170497
STATISTIC 104                        1511   0.7777777777777778                    0                   28                    0               172193
STATISTIC 105                        1525   0.7777777777777778                    0                   28                    0               173805
STATISTIC 106                        1540   0.7777777777777778                    0                   28                    0               175515
STATISTIC 107                        1554   0.7777777777777778                    0                   28                    0               177130
STATISTIC 108                        1569   0.7777777777777778                    0                   28                    0               178883
STATISTIC 109                        1583   0.7777777777777778                    0                   28                    0               180448
STATISTIC 110                        1598   0.7777777777777778                    0                   28                    0               182154
STATISTIC 111                        1613   0.7777777777777778                    0                   28                    0               183853
STATISTIC 112                        1627   0.7777777777777778                    0                   28                    0               185460
STATISTIC 113                        1642   0.7777777777777778                    0                   28                    0               187196
STATISTIC 114                        1656   0.7777777777777778                    0                   28                    0               188856
STATISTIC 115                        1671   0.7777777777777778                    0                   28                    0               190572
STATISTIC 116                        1685   0.7777777777777778                    0                   28                    0               192190
STATISTIC 117                        1700   0.7777777777777778                    0                   28                    0               193971
STATISTIC 118                        1714   0.7777777777777778                    0                   28                    0               195572
STATISTIC 119                        1729   0.7777777777777778                    0                   28                    0               197260
STATISTIC 120                        1743   0.7777777777777778                    0                   28                    0               198893
STATISTIC 121                        1758   0.7777777777777778                    0                   28                    0               200612
STATISTIC 122                        1772   0.7777777777777778                    0                   28                    0               202260
STATISTIC 123                        1787   0.7777777777777778                    0                   28                    0               204004
STATISTIC 124                        1801   0.7777777777777778                    0                   28                    0               205650
STATISTIC 125                        1816   0.7777777777777778                    0                   28                    0               207402
STATISTIC 126                        1831   0.7777777777777778                    0                   28                    0               209134
STATISTIC 127                        1845   0.8055555555555556                    0                   29                    0               210796
STATISTIC 128                        1860   0.8055555555555556                    0                   29                    0               212508
STATISTIC 129                        1874   0.8055555555555556                    0                   29                    0               214186
STATISTIC 130                        1889   0.8055555555555556                    0                   29                    0               215914
STATISTIC 131                        1903   0.8055555555555556                    0                   29                    0               217551
STATISTIC 132                        1918   0.8055555555555556                    0                   29                    0               219330
STATISTIC 133                        1932   0.8055555555555556                    0                   29                    0               220997
STATISTIC 134                        1947   0.8055555555555556                    0                   29                    0               222709
STATISTIC 135                        1961   0.8055555555555556                    0                   29                    0               224338
STATISTIC 136                        1976   0.8055555555555556                    0                   29                    0               226050
STATISTIC 137                        1990   0.8055555555555556                    0                   29                    0               227623
STATISTIC 138                        2005   0.8055555555555556                    0                   29                    0               229355
STATISTIC 139                        2019   0.8055555555555556                    0                   29                    0               230976
STATISTIC 140                        2034   0.8055555555555556                    0                   29                    0               232673
STATISTIC 141                        2048   0.8055555555555556                    0                   29                    0               234290
STATISTIC 142                        2063   0.8055555555555556                    0                   29                    0               236035
STATISTIC 143                        2078   0.8055555555555556                    0                   29                    0               237782
