Statistic ; BestFitness ; Generation ; GeneticDiversity ; Individuals ; SelectedGenotypes ; SelectedIndividuals ; SucessRate ; Time ; FunctionCalls
0 ; 82,062092 ; 0,000000 ; 0,988845 ; 64,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 3,000000 ; 0,000000 ; 
1 ; 89,447700 ; 3,000000 ; 0,926110 ; 71,000000 ; 46,000000 ; 128,000000 ; 0,000000 ; 13,000000 ; 334,000000 ; 
2 ; 93,878495 ; 7,000000 ; 0,684222 ; 73,000000 ; 49,000000 ; 128,000000 ; 0,000000 ; 37,000000 ; 762,000000 ; 
3 ; 97,326149 ; 10,000000 ; 0,603290 ; 67,000000 ; 43,000000 ; 128,000000 ; 0,000000 ; 54,000000 ; 1090,000000 ; 
4 ; 98,742904 ; 14,000000 ; 0,543796 ; 73,000000 ; 47,000000 ; 128,000000 ; 0,000000 ; 77,000000 ; 1518,000000 ; 
5 ; 103,833209 ; 18,000000 ; 0,454875 ; 68,000000 ; 46,000000 ; 128,000000 ; 0,000000 ; 101,000000 ; 1952,000000 ; 
6 ; 105,668848 ; 21,000000 ; 0,387960 ; 66,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 122,000000 ; 2277,000000 ; 
7 ; 107,877776 ; 25,000000 ; 0,313039 ; 72,000000 ; 43,000000 ; 128,000000 ; 0,000000 ; 144,000000 ; 2716,000000 ; 
8 ; 111,677294 ; 29,000000 ; 0,261899 ; 71,000000 ; 48,000000 ; 128,000000 ; 0,000000 ; 167,000000 ; 3172,000000 ; 
9 ; 113,856965 ; 32,000000 ; 0,228487 ; 71,000000 ; 44,000000 ; 128,000000 ; 0,000000 ; 184,000000 ; 3520,000000 ; 
10 ; 112,205786 ; 36,000000 ; 0,210182 ; 75,000000 ; 46,000000 ; 128,000000 ; 0,000000 ; 216,000000 ; 3957,000000 ; 
11 ; 113,675808 ; 39,000000 ; 0,209541 ; 74,000000 ; 43,000000 ; 128,000000 ; 0,000000 ; 238,000000 ; 4295,000000 ; 
12 ; 115,457188 ; 43,000000 ; 0,207532 ; 76,000000 ; 48,000000 ; 128,000000 ; 0,000000 ; 263,000000 ; 4730,000000 ; 
13 ; 115,566914 ; 47,000000 ; 0,177956 ; 72,000000 ; 49,000000 ; 128,000000 ; 0,000000 ; 287,000000 ; 5178,000000 ; 
14 ; 118,139879 ; 50,000000 ; 0,154203 ; 68,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 306,000000 ; 5509,000000 ; 
15 ; 118,420586 ; 54,000000 ; 0,152796 ; 72,000000 ; 45,000000 ; 128,000000 ; 0,000000 ; 330,000000 ; 5947,000000 ; 
16 ; 119,500516 ; 58,000000 ; 0,138094 ; 72,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 353,000000 ; 6408,000000 ; 
17 ; 121,291562 ; 61,000000 ; 0,125111 ; 82,000000 ; 47,000000 ; 128,000000 ; 0,000000 ; 371,000000 ; 6732,000000 ; 
18 ; 122,113700 ; 65,000000 ; 0,109230 ; 81,000000 ; 46,000000 ; 128,000000 ; 0,000000 ; 399,000000 ; 7146,000000 ; 
19 ; 122,113700 ; 69,000000 ; 0,087558 ; 80,000000 ; 45,000000 ; 128,000000 ; 0,000000 ; 423,000000 ; 7565,000000 ; 
20 ; 122,954353 ; 72,000000 ; 0,083784 ; 86,000000 ; 44,000000 ; 128,000000 ; 0,000000 ; 443,000000 ; 7868,000000 ; 
21 ; 123,904915 ; 76,000000 ; 0,081532 ; 91,000000 ; 49,000000 ; 128,000000 ; 0,000000 ; 468,000000 ; 8257,000000 ; 
22 ; 123,621695 ; 79,000000 ; 0,078514 ; 79,000000 ; 45,000000 ; 128,000000 ; 0,000000 ; 486,000000 ; 8561,000000 ; 
23 ; 123,904915 ; 83,000000 ; 0,069892 ; 107,000000 ; 38,000000 ; 128,000000 ; 0,000000 ; 509,000000 ; 8952,000000 ; 
24 ; 124,134764 ; 87,000000 ; 0,063726 ; 112,000000 ; 35,000000 ; 128,000000 ; 0,000000 ; 536,000000 ; 9321,000000 ; 
25 ; 124,134764 ; 90,000000 ; 0,067431 ; 111,000000 ; 35,000000 ; 128,000000 ; 0,000000 ; 555,000000 ; 9626,000000 ; 
26 ; 124,134764 ; 94,000000 ; 0,063035 ; 126,000000 ; 28,000000 ; 128,000000 ; 0,000000 ; 579,000000 ; 10003,000000 ; 
27 ; 125,228354 ; 98,000000 ; 0,063733 ; 113,000000 ; 38,000000 ; 128,000000 ; 0,000000 ; 603,000000 ; 10390,000000 ; 
28 ; 125,228354 ; 101,000000 ; 0,064494 ; 118,000000 ; 36,000000 ; 128,000000 ; 0,000000 ; 623,000000 ; 10680,000000 ; 
29 ; 125,548036 ; 105,000000 ; 0,067269 ; 120,000000 ; 40,000000 ; 128,000000 ; 0,000000 ; 648,000000 ; 11064,000000 ; 
30 ; 125,548036 ; 109,000000 ; 0,069512 ; 113,000000 ; 37,000000 ; 128,000000 ; 0,000000 ; 675,000000 ; 11431,000000 ; 
31 ; 126,265023 ; 112,000000 ; 0,067587 ; 111,000000 ; 35,000000 ; 128,000000 ; 0,000000 ; 696,000000 ; 11707,000000 ; 
32 ; 126,480934 ; 116,000000 ; 0,071673 ; 109,000000 ; 34,000000 ; 128,000000 ; 0,000000 ; 721,000000 ; 12110,000000 ; 
33 ; 126,480934 ; 119,000000 ; 0,068157 ; 112,000000 ; 34,000000 ; 128,000000 ; 0,000000 ; 740,000000 ; 12385,000000 ; 
34 ; 126,480934 ; 123,000000 ; 0,068790 ; 117,000000 ; 34,000000 ; 128,000000 ; 0,000000 ; 765,000000 ; 12776,000000 ; 
35 ; 126,480934 ; 127,000000 ; 0,068216 ; 120,000000 ; 42,000000 ; 128,000000 ; 0,000000 ; 790,000000 ; 13163,000000 ; 
36 ; 126,480934 ; 130,000000 ; 0,064851 ; 120,000000 ; 41,000000 ; 128,000000 ; 0,000000 ; 808,000000 ; 13447,000000 ; 
37 ; 126,959652 ; 134,000000 ; 0,058706 ; 112,000000 ; 36,000000 ; 128,000000 ; 0,000000 ; 833,000000 ; 13826,000000 ; 
38 ; 127,279335 ; 138,000000 ; 0,058180 ; 122,000000 ; 32,000000 ; 128,000000 ; 0,000000 ; 856,000000 ; 14179,000000 ; 
39 ; 127,279335 ; 141,000000 ; 0,059404 ; 123,000000 ; 33,000000 ; 128,000000 ; 0,000000 ; 874,000000 ; 14464,000000 ; 
40 ; 127,279335 ; 145,000000 ; 0,063238 ; 124,000000 ; 35,000000 ; 128,000000 ; 0,000000 ; 900,000000 ; 14835,000000 ; 
41 ; 127,279335 ; 149,000000 ; 0,062658 ; 121,000000 ; 34,000000 ; 128,000000 ; 0,000000 ; 924,000000 ; 15202,000000 ; 
42 ; 127,279335 ; 152,000000 ; 0,059224 ; 117,000000 ; 35,000000 ; 128,000000 ; 0,000000 ; 946,000000 ; 15485,000000 ; 
43 ; 127,279335 ; 156,000000 ; 0,054732 ; 116,000000 ; 34,000000 ; 128,000000 ; 0,000000 ; 970,000000 ; 15851,000000 ; 
44 ; 127,279335 ; 159,000000 ; 0,054593 ; 123,000000 ; 36,000000 ; 128,000000 ; 0,000000 ; 988,000000 ; 16127,000000 ; 
45 ; 127,279335 ; 163,000000 ; 0,055564 ; 126,000000 ; 36,000000 ; 128,000000 ; 0,000000 ; 1012,000000 ; 16488,000000 ; 
46 ; 127,279335 ; 167,000000 ; 0,054190 ; 126,000000 ; 37,000000 ; 128,000000 ; 0,000000 ; 1037,000000 ; 16838,000000 ; 
47 ; 128,000000 ; 170,000000 ; 0,054678 ; 121,000000 ; 38,000000 ; 128,000000 ; 1,000000 ; 1055,000000 ; 17101,000000 ; 
48 ; 128,000000 ; 174,000000 ; 0,057529 ; 120,000000 ; 32,000000 ; 128,000000 ; 1,000000 ; 1079,000000 ; 17459,000000 ; 
49 ; 128,000000 ; 178,000000 ; 0,061576 ; 113,000000 ; 37,000000 ; 128,000000 ; 1,000000 ; 1104,000000 ; 17825,000000 ; 
50 ; 128,000000 ; 181,000000 ; 0,062170 ; 119,000000 ; 38,000000 ; 128,000000 ; 1,000000 ; 1124,000000 ; 18111,000000 ; 
51 ; 128,000000 ; 185,000000 ; 0,064257 ; 123,000000 ; 37,000000 ; 128,000000 ; 1,000000 ; 1149,000000 ; 18476,000000 ; 
52 ; 128,000000 ; 189,000000 ; 0,060634 ; 125,000000 ; 38,000000 ; 128,000000 ; 1,000000 ; 1173,000000 ; 18840,000000 ; 
53 ; 128,000000 ; 192,000000 ; 0,060844 ; 127,000000 ; 34,000000 ; 128,000000 ; 1,000000 ; 1194,000000 ; 19113,000000 ; 
54 ; 128,000000 ; 196,000000 ; 0,060370 ; 117,000000 ; 37,000000 ; 128,000000 ; 1,000000 ; 1219,000000 ; 19488,000000 ; 
55 ; 128,000000 ; 199,000000 ; 0,058465 ; 122,000000 ; 32,000000 ; 128,000000 ; 1,000000 ; 1238,000000 ; 19742,000000 ; 
56 ; 128,000000 ; 203,000000 ; 0,056678 ; 121,000000 ; 36,000000 ; 128,000000 ; 1,000000 ; 1262,000000 ; 20101,000000 ; 
57 ; 128,000000 ; 207,000000 ; 0,056521 ; 125,000000 ; 37,000000 ; 128,000000 ; 1,000000 ; 1286,000000 ; 20465,000000 ; 
58 ; 128,000000 ; 210,000000 ; 0,057589 ; 127,000000 ; 37,000000 ; 128,000000 ; 1,000000 ; 1305,000000 ; 20734,000000 ; 
59 ; 128,000000 ; 214,000000 ; 0,055710 ; 126,000000 ; 36,000000 ; 128,000000 ; 1,000000 ; 1331,000000 ; 21116,000000 ; 
60 ; 128,000000 ; 218,000000 ; 0,056450 ; 121,000000 ; 35,000000 ; 128,000000 ; 1,000000 ; 1355,000000 ; 21474,000000 ; 
61 ; 128,000000 ; 221,000000 ; 0,056896 ; 125,000000 ; 36,000000 ; 128,000000 ; 1,000000 ; 1373,000000 ; 21753,000000 ; 
62 ; 128,000000 ; 225,000000 ; 0,057588 ; 121,000000 ; 38,000000 ; 128,000000 ; 1,000000 ; 1397,000000 ; 22120,000000 ; 
63 ; 128,000000 ; 229,000000 ; 0,057814 ; 121,000000 ; 39,000000 ; 128,000000 ; 1,000000 ; 1421,000000 ; 22489,000000 ; 
64 ; 128,000000 ; 232,000000 ; 0,059457 ; 129,000000 ; 40,000000 ; 128,000000 ; 1,000000 ; 1443,000000 ; 22765,000000 ; 
65 ; 128,000000 ; 236,000000 ; 0,057217 ; 120,000000 ; 33,000000 ; 128,000000 ; 1,000000 ; 1467,000000 ; 23116,000000 ; 
66 ; 128,000000 ; 239,000000 ; 0,055480 ; 126,000000 ; 34,000000 ; 128,000000 ; 1,000000 ; 1486,000000 ; 23395,000000 ; 
67 ; 128,000000 ; 243,000000 ; 0,052671 ; 123,000000 ; 32,000000 ; 128,000000 ; 1,000000 ; 1511,000000 ; 23757,000000 ; 
68 ; 128,000000 ; 247,000000 ; 0,054219 ; 123,000000 ; 31,000000 ; 128,000000 ; 1,000000 ; 1536,000000 ; 24114,000000 ; 
69 ; 128,000000 ; 250,000000 ; 0,053223 ; 127,000000 ; 34,000000 ; 128,000000 ; 1,000000 ; 1554,000000 ; 24364,000000 ; 
70 ; 128,000000 ; 254,000000 ; 0,052410 ; 124,000000 ; 32,000000 ; 128,000000 ; 1,000000 ; 1577,000000 ; 24714,000000 ; 
71 ; 128,000000 ; 258,000000 ; 0,053655 ; 122,000000 ; 36,000000 ; 128,000000 ; 1,000000 ; 1605,000000 ; 25077,000000 ; 
72 ; 128,000000 ; 261,000000 ; 0,054958 ; 123,000000 ; 39,000000 ; 128,000000 ; 1,000000 ; 1625,000000 ; 25331,000000 ; 
73 ; 128,000000 ; 265,000000 ; 0,054740 ; 121,000000 ; 35,000000 ; 128,000000 ; 1,000000 ; 1651,000000 ; 25689,000000 ; 
74 ; 128,000000 ; 269,000000 ; 0,054105 ; 128,000000 ; 36,000000 ; 128,000000 ; 1,000000 ; 1675,000000 ; 26055,000000 ; 
75 ; 128,000000 ; 272,000000 ; 0,053967 ; 122,000000 ; 38,000000 ; 128,000000 ; 1,000000 ; 1695,000000 ; 26316,000000 ; 
76 ; 128,000000 ; 276,000000 ; 0,053331 ; 126,000000 ; 37,000000 ; 128,000000 ; 1,000000 ; 1721,000000 ; 26664,000000 ; 
77 ; 128,000000 ; 279,000000 ; 0,054911 ; 120,000000 ; 36,000000 ; 128,000000 ; 1,000000 ; 1739,000000 ; 26936,000000 ; 
78 ; 128,000000 ; 283,000000 ; 0,053640 ; 120,000000 ; 36,000000 ; 128,000000 ; 1,000000 ; 1766,000000 ; 27286,000000 ; 
79 ; 128,000000 ; 287,000000 ; 0,053530 ; 122,000000 ; 30,000000 ; 128,000000 ; 1,000000 ; 1790,000000 ; 27652,000000 ; 
80 ; 128,000000 ; 290,000000 ; 0,054234 ; 125,000000 ; 32,000000 ; 128,000000 ; 1,000000 ; 1809,000000 ; 27931,000000 ; 
81 ; 128,000000 ; 294,000000 ; 0,051941 ; 127,000000 ; 31,000000 ; 128,000000 ; 1,000000 ; 1836,000000 ; 28271,000000 ; 
82 ; 128,000000 ; 298,000000 ; 0,051833 ; 122,000000 ; 36,000000 ; 128,000000 ; 1,000000 ; 1861,000000 ; 28631,000000 ; 
83 ; 128,000000 ; 301,000000 ; 0,052886 ; 125,000000 ; 38,000000 ; 128,000000 ; 1,000000 ; 1881,000000 ; 28914,000000 ; 
84 ; 128,000000 ; 305,000000 ; 0,053487 ; 127,000000 ; 37,000000 ; 128,000000 ; 1,000000 ; 1908,000000 ; 29273,000000 ; 
85 ; 128,000000 ; 309,000000 ; 0,053704 ; 128,000000 ; 38,000000 ; 128,000000 ; 1,000000 ; 1934,000000 ; 29627,000000 ; 
86 ; 128,000000 ; 312,000000 ; 0,054060 ; 124,000000 ; 38,000000 ; 128,000000 ; 1,000000 ; 1954,000000 ; 29897,000000 ; 
87 ; 128,000000 ; 316,000000 ; 0,052525 ; 125,000000 ; 32,000000 ; 128,000000 ; 1,000000 ; 1981,000000 ; 30259,000000 ; 
88 ; 128,000000 ; 319,000000 ; 0,054820 ; 129,000000 ; 40,000000 ; 128,000000 ; 1,000000 ; 2002,000000 ; 30515,000000 ; 
89 ; 128,000000 ; 323,000000 ; 0,054237 ; 130,000000 ; 38,000000 ; 128,000000 ; 1,000000 ; 2030,000000 ; 30871,000000 ; 
90 ; 128,000000 ; 327,000000 ; 0,052377 ; 122,000000 ; 35,000000 ; 128,000000 ; 1,000000 ; 2057,000000 ; 31220,000000 ; 
91 ; 128,000000 ; 330,000000 ; 0,051881 ; 127,000000 ; 39,000000 ; 128,000000 ; 1,000000 ; 2077,000000 ; 31485,000000 ; 
92 ; 128,000000 ; 334,000000 ; 0,051690 ; 126,000000 ; 33,000000 ; 128,000000 ; 1,000000 ; 2103,000000 ; 31854,000000 ; 
93 ; 128,000000 ; 338,000000 ; 0,052902 ; 127,000000 ; 41,000000 ; 128,000000 ; 1,000000 ; 2132,000000 ; 32233,000000 ; 
94 ; 128,000000 ; 341,000000 ; 0,051382 ; 127,000000 ; 37,000000 ; 128,000000 ; 1,000000 ; 2152,000000 ; 32488,000000 ; 
95 ; 128,000000 ; 345,000000 ; 0,052655 ; 126,000000 ; 38,000000 ; 128,000000 ; 1,000000 ; 2178,000000 ; 32847,000000 ; 
96 ; 128,000000 ; 349,000000 ; 0,052754 ; 127,000000 ; 36,000000 ; 128,000000 ; 1,000000 ; 2206,000000 ; 33221,000000 ; 
97 ; 128,000000 ; 352,000000 ; 0,053438 ; 127,000000 ; 39,000000 ; 128,000000 ; 1,000000 ; 2228,000000 ; 33480,000000 ; 
98 ; 128,000000 ; 356,000000 ; 0,053157 ; 127,000000 ; 40,000000 ; 128,000000 ; 1,000000 ; 2254,000000 ; 33855,000000 ; 
99 ; 128,000000 ; 359,000000 ; 0,052302 ; 122,000000 ; 35,000000 ; 128,000000 ; 1,000000 ; 2274,000000 ; 34114,000000 ; 
100 ; 128,000000 ; 363,000000 ; 0,052416 ; 124,000000 ; 32,000000 ; 128,000000 ; 1,000000 ; 2302,000000 ; 34454,000000 ; 
101 ; 128,000000 ; 367,000000 ; 0,052350 ; 125,000000 ; 35,000000 ; 128,000000 ; 1,000000 ; 2416,000000 ; 34788,000000 ; 
102 ; 128,000000 ; 370,000000 ; 0,052572 ; 128,000000 ; 41,000000 ; 128,000000 ; 1,000000 ; 2435,000000 ; 35054,000000 ; 
103 ; 128,000000 ; 374,000000 ; 0,052975 ; 131,000000 ; 39,000000 ; 128,000000 ; 1,000000 ; 2479,000000 ; 35408,000000 ; 
104 ; 128,000000 ; 378,000000 ; 0,053640 ; 129,000000 ; 33,000000 ; 128,000000 ; 1,000000 ; 2505,000000 ; 35760,000000 ; 
105 ; 128,000000 ; 381,000000 ; 0,053743 ; 129,000000 ; 31,000000 ; 128,000000 ; 1,000000 ; 2525,000000 ; 36035,000000 ; 
106 ; 128,000000 ; 385,000000 ; 0,054683 ; 123,000000 ; 40,000000 ; 128,000000 ; 1,000000 ; 2551,000000 ; 36395,000000 ; 
107 ; 128,000000 ; 388,000000 ; 0,054335 ; 125,000000 ; 37,000000 ; 128,000000 ; 1,000000 ; 2566,000000 ; 36649,000000 ; 
108 ; 128,000000 ; 392,000000 ; 0,054905 ; 129,000000 ; 35,000000 ; 128,000000 ; 1,000000 ; 2585,000000 ; 37020,000000 ; 
109 ; 128,000000 ; 396,000000 ; 0,052804 ; 127,000000 ; 32,000000 ; 128,000000 ; 1,000000 ; 2606,000000 ; 37367,000000 ; 
110 ; 128,000000 ; 399,000000 ; 0,053264 ; 125,000000 ; 35,000000 ; 128,000000 ; 1,000000 ; 2622,000000 ; 37646,000000 ; 
111 ; 128,000000 ; 403,000000 ; 0,053737 ; 123,000000 ; 38,000000 ; 128,000000 ; 1,000000 ; 2642,000000 ; 37993,000000 ; 
