Statistic  ; Generation ; Individuals ; SucessRate ; Time ; FunctionCalls
MEAN ; 100,000000 ; 120,330000 ; 1,000000 ; 31843,310000 ; 9973,980000
STD ; 0,000000 ; 4,458688 ; 0,000000 ; 162,169490 ; 93,008958
MIN ; 100,000000 ; 107,000000 ; 1,000000 ; 31624,000000 ; 9764,000000
MEDIAN ; 100,000000 ; 121,000000 ; 1,000000 ; 31858,000000 ; 9977,000000
MAX ; 100,000000 ; 129,000000 ; 1,000000 ; 32187,000000 ; 10189,000000
Q1 ; 100,000000 ; 117,000000 ; 1,000000 ; 31640,000000 ; 9923,000000
Q3 ; 100,000000 ; 124,000000 ; 1,000000 ; 31984,000000 ; 10040,000000

Solvers
Solver 0 ; 100,000000 ; 120,000000 ; 1,000000 ; 32187,000000 ; 10015,000000
Solver 1 ; 100,000000 ; 125,000000 ; 1,000000 ; 32124,000000 ; 9818,000000
Solver 2 ; 100,000000 ; 127,000000 ; 1,000000 ; 32124,000000 ; 9963,000000
Solver 3 ; 100,000000 ; 115,000000 ; 1,000000 ; 32093,000000 ; 10060,000000
Solver 4 ; 100,000000 ; 114,000000 ; 1,000000 ; 32093,000000 ; 9949,000000
Solver 5 ; 100,000000 ; 110,000000 ; 1,000000 ; 32093,000000 ; 9997,000000
Solver 6 ; 100,000000 ; 116,000000 ; 1,000000 ; 32077,000000 ; 9953,000000
Solver 7 ; 100,000000 ; 117,000000 ; 1,000000 ; 31640,000000 ; 10040,000000
Solver 8 ; 100,000000 ; 119,000000 ; 1,000000 ; 32077,000000 ; 9996,000000
Solver 9 ; 100,000000 ; 119,000000 ; 1,000000 ; 31640,000000 ; 9922,000000
Solver 10 ; 100,000000 ; 123,000000 ; 1,000000 ; 32077,000000 ; 9977,000000
Solver 11 ; 100,000000 ; 126,000000 ; 1,000000 ; 31640,000000 ; 9988,000000
Solver 12 ; 100,000000 ; 126,000000 ; 1,000000 ; 32077,000000 ; 9960,000000
Solver 13 ; 100,000000 ; 121,000000 ; 1,000000 ; 31640,000000 ; 9992,000000
Solver 14 ; 100,000000 ; 121,000000 ; 1,000000 ; 32077,000000 ; 9899,000000
Solver 15 ; 100,000000 ; 128,000000 ; 1,000000 ; 32062,000000 ; 9861,000000
Solver 16 ; 100,000000 ; 120,000000 ; 1,000000 ; 31624,000000 ; 9867,000000
Solver 17 ; 100,000000 ; 117,000000 ; 1,000000 ; 32062,000000 ; 10065,000000
Solver 18 ; 100,000000 ; 119,000000 ; 1,000000 ; 32062,000000 ; 10070,000000
Solver 19 ; 100,000000 ; 121,000000 ; 1,000000 ; 32030,000000 ; 9924,000000
Solver 20 ; 100,000000 ; 120,000000 ; 1,000000 ; 31624,000000 ; 9987,000000
Solver 21 ; 100,000000 ; 119,000000 ; 1,000000 ; 32030,000000 ; 10189,000000
Solver 22 ; 100,000000 ; 121,000000 ; 1,000000 ; 31624,000000 ; 9870,000000
Solver 23 ; 100,000000 ; 119,000000 ; 1,000000 ; 31640,000000 ; 9986,000000
Solver 24 ; 100,000000 ; 114,000000 ; 1,000000 ; 32030,000000 ; 9988,000000
Solver 25 ; 100,000000 ; 119,000000 ; 1,000000 ; 32015,000000 ; 10034,000000
Solver 26 ; 100,000000 ; 122,000000 ; 1,000000 ; 31640,000000 ; 10080,000000
Solver 27 ; 100,000000 ; 123,000000 ; 1,000000 ; 32015,000000 ; 10040,000000
Solver 28 ; 100,000000 ; 129,000000 ; 1,000000 ; 31640,000000 ; 10050,000000
Solver 29 ; 100,000000 ; 121,000000 ; 1,000000 ; 32015,000000 ; 10141,000000
Solver 30 ; 100,000000 ; 121,000000 ; 1,000000 ; 31640,000000 ; 9968,000000
Solver 31 ; 100,000000 ; 126,000000 ; 1,000000 ; 31999,000000 ; 10022,000000
Solver 32 ; 100,000000 ; 116,000000 ; 1,000000 ; 31984,000000 ; 9979,000000
Solver 33 ; 100,000000 ; 108,000000 ; 1,000000 ; 31984,000000 ; 9923,000000
Solver 34 ; 100,000000 ; 124,000000 ; 1,000000 ; 31984,000000 ; 9825,000000
Solver 35 ; 100,000000 ; 126,000000 ; 1,000000 ; 31984,000000 ; 10070,000000
Solver 36 ; 100,000000 ; 117,000000 ; 1,000000 ; 31984,000000 ; 10064,000000
Solver 37 ; 100,000000 ; 112,000000 ; 1,000000 ; 31625,000000 ; 10026,000000
Solver 38 ; 100,000000 ; 115,000000 ; 1,000000 ; 31968,000000 ; 9895,000000
Solver 39 ; 100,000000 ; 120,000000 ; 1,000000 ; 31640,000000 ; 10071,000000
Solver 40 ; 100,000000 ; 120,000000 ; 1,000000 ; 31968,000000 ; 9928,000000
Solver 41 ; 100,000000 ; 119,000000 ; 1,000000 ; 31640,000000 ; 10163,000000
Solver 42 ; 100,000000 ; 122,000000 ; 1,000000 ; 31968,000000 ; 10007,000000
Solver 43 ; 100,000000 ; 119,000000 ; 1,000000 ; 31953,000000 ; 10073,000000
Solver 44 ; 100,000000 ; 122,000000 ; 1,000000 ; 31624,000000 ; 10076,000000
Solver 45 ; 100,000000 ; 117,000000 ; 1,000000 ; 31937,000000 ; 10014,000000
Solver 46 ; 100,000000 ; 118,000000 ; 1,000000 ; 31937,000000 ; 10008,000000
Solver 47 ; 100,000000 ; 109,000000 ; 1,000000 ; 31921,000000 ; 9773,000000
Solver 48 ; 100,000000 ; 122,000000 ; 1,000000 ; 31624,000000 ; 9764,000000
Solver 49 ; 100,000000 ; 122,000000 ; 1,000000 ; 31921,000000 ; 9935,000000
Solver 50 ; 100,000000 ; 127,000000 ; 1,000000 ; 31905,000000 ; 9965,000000
Solver 51 ; 100,000000 ; 127,000000 ; 1,000000 ; 31905,000000 ; 9933,000000
Solver 52 ; 100,000000 ; 123,000000 ; 1,000000 ; 31890,000000 ; 9905,000000
Solver 53 ; 100,000000 ; 121,000000 ; 1,000000 ; 31640,000000 ; 9981,000000
Solver 54 ; 100,000000 ; 124,000000 ; 1,000000 ; 31890,000000 ; 10030,000000
Solver 55 ; 100,000000 ; 122,000000 ; 1,000000 ; 31640,000000 ; 9836,000000
Solver 56 ; 100,000000 ; 124,000000 ; 1,000000 ; 31890,000000 ; 9833,000000
Solver 57 ; 100,000000 ; 121,000000 ; 1,000000 ; 31890,000000 ; 10026,000000
Solver 58 ; 100,000000 ; 119,000000 ; 1,000000 ; 31640,000000 ; 10012,000000
Solver 59 ; 100,000000 ; 125,000000 ; 1,000000 ; 31890,000000 ; 9822,000000
Solver 60 ; 100,000000 ; 122,000000 ; 1,000000 ; 31624,000000 ; 9862,000000
Solver 61 ; 100,000000 ; 128,000000 ; 1,000000 ; 31858,000000 ; 9954,000000
Solver 62 ; 100,000000 ; 124,000000 ; 1,000000 ; 31624,000000 ; 9784,000000
Solver 63 ; 100,000000 ; 117,000000 ; 1,000000 ; 31858,000000 ; 9998,000000
Solver 64 ; 100,000000 ; 120,000000 ; 1,000000 ; 31624,000000 ; 10181,000000
Solver 65 ; 100,000000 ; 124,000000 ; 1,000000 ; 31858,000000 ; 9955,000000
Solver 66 ; 100,000000 ; 122,000000 ; 1,000000 ; 31640,000000 ; 9885,000000
Solver 67 ; 100,000000 ; 123,000000 ; 1,000000 ; 31843,000000 ; 9966,000000
Solver 68 ; 100,000000 ; 113,000000 ; 1,000000 ; 31843,000000 ; 10060,000000
