Statistic ; Generation ; Individuals ; SucessRate ; Time ; FunctionCalls
0 ; 0,000000 ; 64,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 
1 ; 1,000000 ; 64,000000 ; 0,000000 ; 0,000000 ; 111,000000 ; 
2 ; 2,000000 ; 68,000000 ; 0,000000 ; 859,000000 ; 218,000000 ; 
3 ; 3,000000 ; 68,000000 ; 0,000000 ; 1531,000000 ; 328,000000 ; 
4 ; 4,000000 ; 68,000000 ; 0,000000 ; 2125,000000 ; 439,000000 ; 
5 ; 5,000000 ; 69,000000 ; 0,000000 ; 2983,000000 ; 545,000000 ; 
6 ; 6,000000 ; 66,000000 ; 0,000000 ; 3281,000000 ; 654,000000 ; 
7 ; 7,000000 ; 69,000000 ; 0,000000 ; 3679,000000 ; 767,000000 ; 
8 ; 8,000000 ; 66,000000 ; 0,000000 ; 4007,000000 ; 874,000000 ; 
9 ; 9,000000 ; 64,000000 ; 0,000000 ; 4277,000000 ; 985,000000 ; 
10 ; 10,000000 ; 66,000000 ; 0,000000 ; 4574,000000 ; 1089,000000 ; 
11 ; 11,000000 ; 70,000000 ; 0,000000 ; 4933,000000 ; 1200,000000 ; 
12 ; 12,000000 ; 70,000000 ; 0,000000 ; 5355,000000 ; 1310,000000 ; 
13 ; 13,000000 ; 68,000000 ; 0,000000 ; 5777,000000 ; 1429,000000 ; 
14 ; 14,000000 ; 66,000000 ; 0,000000 ; 5980,000000 ; 1545,000000 ; 
15 ; 15,000000 ; 71,000000 ; 0,000000 ; 6277,000000 ; 1658,000000 ; 
16 ; 16,000000 ; 66,000000 ; 0,000000 ; 6605,000000 ; 1774,000000 ; 
17 ; 17,000000 ; 65,000000 ; 0,000000 ; 6886,000000 ; 1899,000000 ; 
18 ; 18,000000 ; 69,000000 ; 0,000000 ; 7383,000000 ; 2008,000000 ; 
19 ; 19,000000 ; 68,000000 ; 0,000000 ; 7696,000000 ; 2121,000000 ; 
20 ; 20,000000 ; 70,000000 ; 0,000000 ; 7956,000000 ; 2226,000000 ; 
21 ; 21,000000 ; 71,000000 ; 0,000000 ; 8097,000000 ; 2337,000000 ; 
22 ; 22,000000 ; 70,000000 ; 0,000000 ; 8394,000000 ; 2449,000000 ; 
23 ; 23,000000 ; 70,000000 ; 0,000000 ; 8690,000000 ; 2560,000000 ; 
24 ; 24,000000 ; 70,000000 ; 0,000000 ; 9144,000000 ; 2669,000000 ; 
25 ; 25,000000 ; 71,000000 ; 0,000000 ; 9456,000000 ; 2778,000000 ; 
26 ; 26,000000 ; 68,000000 ; 0,000000 ; 9643,000000 ; 2893,000000 ; 
27 ; 27,000000 ; 69,000000 ; 0,000000 ; 9898,000000 ; 3011,000000 ; 
28 ; 28,000000 ; 65,000000 ; 0,000000 ; 10226,000000 ; 3121,000000 ; 
29 ; 29,000000 ; 70,000000 ; 0,000000 ; 10585,000000 ; 3226,000000 ; 
30 ; 30,000000 ; 70,000000 ; 0,000000 ; 10866,000000 ; 3342,000000 ; 
31 ; 31,000000 ; 71,000000 ; 0,000000 ; 11162,000000 ; 3451,000000 ; 
32 ; 32,000000 ; 74,000000 ; 0,000000 ; 11521,000000 ; 3560,000000 ; 
33 ; 33,000000 ; 70,000000 ; 0,000000 ; 11615,000000 ; 3675,000000 ; 
34 ; 34,000000 ; 72,000000 ; 0,000000 ; 11880,000000 ; 3787,000000 ; 
35 ; 35,000000 ; 66,000000 ; 0,000000 ; 12162,000000 ; 3906,000000 ; 
36 ; 36,000000 ; 66,000000 ; 0,000000 ; 12474,000000 ; 4019,000000 ; 
37 ; 37,000000 ; 68,000000 ; 0,000000 ; 12755,000000 ; 4132,000000 ; 
38 ; 38,000000 ; 66,000000 ; 0,000000 ; 13068,000000 ; 4238,000000 ; 
39 ; 39,000000 ; 67,000000 ; 0,000000 ; 13387,000000 ; 4349,000000 ; 
40 ; 40,000000 ; 72,000000 ; 0,000000 ; 13708,000000 ; 4462,000000 ; 
41 ; 41,000000 ; 72,000000 ; 0,000000 ; 14067,000000 ; 4569,000000 ; 
42 ; 42,000000 ; 70,000000 ; 0,000000 ; 14208,000000 ; 4671,000000 ; 
43 ; 43,000000 ; 72,000000 ; 0,000000 ; 14664,000000 ; 4779,000000 ; 
44 ; 44,000000 ; 69,000000 ; 0,000000 ; 14914,000000 ; 4888,000000 ; 
45 ; 45,000000 ; 65,000000 ; 0,000000 ; 15134,000000 ; 5005,000000 ; 
46 ; 46,000000 ; 72,000000 ; 0,000000 ; 15454,000000 ; 5109,000000 ; 
47 ; 47,000000 ; 71,000000 ; 0,000000 ; 15828,000000 ; 5215,000000 ; 
48 ; 48,000000 ; 71,000000 ; 0,000000 ; 16054,000000 ; 5328,000000 ; 
49 ; 49,000000 ; 70,000000 ; 0,000000 ; 16284,000000 ; 5440,000000 ; 
50 ; 50,000000 ; 73,000000 ; 0,000000 ; 16649,000000 ; 5551,000000 ; 
51 ; 51,000000 ; 76,000000 ; 0,000000 ; 16917,000000 ; 5655,000000 ; 
52 ; 52,000000 ; 71,000000 ; 0,000000 ; 17167,000000 ; 5762,000000 ; 
53 ; 53,000000 ; 75,000000 ; 0,000000 ; 17580,000000 ; 5870,000000 ; 
54 ; 54,000000 ; 90,000000 ; 0,000000 ; 17902,000000 ; 5959,000000 ; 
55 ; 55,000000 ; 92,000000 ; 0,000000 ; 18090,000000 ; 6052,000000 ; 
56 ; 56,000000 ; 99,000000 ; 1,000000 ; 18386,000000 ; 6148,000000 ; 
57 ; 57,000000 ; 105,000000 ; 1,000000 ; 18874,000000 ; 6245,000000 ; 
58 ; 58,000000 ; 94,000000 ; 1,000000 ; 18993,000000 ; 6341,000000 ; 
59 ; 59,000000 ; 108,000000 ; 1,000000 ; 19290,000000 ; 6432,000000 ; 
60 ; 60,000000 ; 111,000000 ; 1,000000 ; 19587,000000 ; 6522,000000 ; 
61 ; 61,000000 ; 117,000000 ; 1,000000 ; 19962,000000 ; 6610,000000 ; 
62 ; 62,000000 ; 109,000000 ; 1,000000 ; 20321,000000 ; 6707,000000 ; 
63 ; 63,000000 ; 113,000000 ; 1,000000 ; 20696,000000 ; 6792,000000 ; 
