Function Calls

Generation ; MEAN ; STD ; MIN ; MEDIAN ; MAX ; Q1 ; Q3 ; 
0  ;  111,360000  ;  4,277071  ;  101,000000  ;  111,000000  ;  122,000000  ;  108,000000  ;  115,000000  ; 
1  ;  222,830000  ;  6,935569  ;  202,000000  ;  223,000000  ;  237,000000  ;  219,000000  ;  228,000000  ; 
2  ;  333,470000  ;  8,930093  ;  315,000000  ;  333,000000  ;  355,000000  ;  327,000000  ;  341,000000  ; 
3  ;  443,830000  ;  9,287827  ;  422,000000  ;  444,000000  ;  462,000000  ;  437,000000  ;  451,000000  ; 
4  ;  553,620000  ;  11,043331  ;  527,000000  ;  553,000000  ;  579,000000  ;  546,000000  ;  561,000000  ; 
5  ;  663,420000  ;  12,809545  ;  631,000000  ;  665,000000  ;  695,000000  ;  655,000000  ;  672,000000  ; 
6  ;  774,620000  ;  14,210382  ;  742,000000  ;  777,000000  ;  809,000000  ;  766,000000  ;  784,000000  ; 
7  ;  885,730000  ;  15,214198  ;  847,000000  ;  888,000000  ;  922,000000  ;  876,000000  ;  897,000000  ; 
8  ;  996,180000  ;  15,665300  ;  955,000000  ;  997,000000  ;  1034,000000  ;  987,000000  ;  1008,000000  ; 
9  ;  1106,650000  ;  16,358592  ;  1063,000000  ;  1108,000000  ;  1141,000000  ;  1095,000000  ;  1119,000000  ; 
10  ;  1217,090000  ;  17,217031  ;  1167,000000  ;  1218,000000  ;  1254,000000  ;  1205,000000  ;  1229,000000  ; 
11  ;  1328,490000  ;  17,268816  ;  1281,000000  ;  1330,000000  ;  1368,000000  ;  1318,000000  ;  1340,000000  ; 
12  ;  1439,750000  ;  17,495382  ;  1395,000000  ;  1440,000000  ;  1480,000000  ;  1428,000000  ;  1452,000000  ; 
13  ;  1550,030000  ;  17,890495  ;  1507,000000  ;  1550,000000  ;  1587,000000  ;  1539,000000  ;  1563,000000  ; 
14  ;  1661,210000  ;  19,355418  ;  1614,000000  ;  1660,000000  ;  1701,000000  ;  1647,000000  ;  1676,000000  ; 
15  ;  1771,660000  ;  20,349085  ;  1723,000000  ;  1771,000000  ;  1815,000000  ;  1760,000000  ;  1785,000000  ; 
16  ;  1882,990000  ;  20,718652  ;  1837,000000  ;  1884,000000  ;  1928,000000  ;  1868,000000  ;  1897,000000  ; 
17  ;  1993,290000  ;  20,366488  ;  1945,000000  ;  1993,000000  ;  2041,000000  ;  1980,000000  ;  2006,000000  ; 
18  ;  2103,920000  ;  21,036611  ;  2056,000000  ;  2104,000000  ;  2150,000000  ;  2091,000000  ;  2119,000000  ; 
19  ;  2214,060000  ;  21,307190  ;  2164,000000  ;  2215,000000  ;  2263,000000  ;  2201,000000  ;  2228,000000  ; 
