Number of Individuals

Generation ; MEAN ; STD ; MIN ; MEDIAN ; MAX ; Q1 ; Q3 ; 
0  ;  67,370000  ;  1,905097  ;  64,000000  ;  67,000000  ;  74,000000  ;  66,000000  ;  69,000000  ; 
1  ;  68,460000  ;  2,679590  ;  64,000000  ;  68,000000  ;  78,000000  ;  67,000000  ;  69,000000  ; 
2  ;  68,530000  ;  2,434827  ;  64,000000  ;  68,000000  ;  75,000000  ;  67,000000  ;  70,000000  ; 
3  ;  68,780000  ;  2,761861  ;  64,000000  ;  69,000000  ;  80,000000  ;  67,000000  ;  70,000000  ; 
4  ;  69,030000  ;  2,830052  ;  65,000000  ;  69,000000  ;  84,000000  ;  67,000000  ;  70,000000  ; 
5  ;  68,950000  ;  2,671870  ;  64,000000  ;  69,000000  ;  78,000000  ;  67,000000  ;  71,000000  ; 
6  ;  68,730000  ;  2,681229  ;  64,000000  ;  68,000000  ;  78,000000  ;  67,000000  ;  70,000000  ; 
7  ;  68,610000  ;  2,407459  ;  64,000000  ;  69,000000  ;  75,000000  ;  67,000000  ;  70,000000  ; 
8  ;  69,170000  ;  2,558626  ;  64,000000  ;  69,000000  ;  77,000000  ;  68,000000  ;  71,000000  ; 
9  ;  68,580000  ;  2,674911  ;  64,000000  ;  68,000000  ;  80,000000  ;  67,000000  ;  70,000000  ; 
10  ;  69,160000  ;  2,642772  ;  65,000000  ;  69,000000  ;  78,000000  ;  67,000000  ;  71,000000  ; 
11  ;  68,950000  ;  2,782975  ;  64,000000  ;  69,000000  ;  78,000000  ;  67,000000  ;  71,000000  ; 
12  ;  69,090000  ;  3,048745  ;  64,000000  ;  69,000000  ;  80,000000  ;  67,000000  ;  71,000000  ; 
13  ;  69,520000  ;  3,170189  ;  65,000000  ;  69,000000  ;  84,000000  ;  67,000000  ;  72,000000  ; 
14  ;  69,550000  ;  2,727988  ;  65,000000  ;  69,000000  ;  80,000000  ;  68,000000  ;  71,000000  ; 
15  ;  69,500000  ;  2,540580  ;  65,000000  ;  69,000000  ;  77,000000  ;  68,000000  ;  71,000000  ; 
16  ;  69,290000  ;  3,079076  ;  64,000000  ;  69,000000  ;  78,000000  ;  67,000000  ;  71,000000  ; 
17  ;  69,410000  ;  2,570599  ;  64,000000  ;  69,000000  ;  76,000000  ;  68,000000  ;  71,000000  ; 
18  ;  69,140000  ;  3,136684  ;  65,000000  ;  69,000000  ;  80,000000  ;  67,000000  ;  71,000000  ; 
