Time

Generation ; MEAN ; STD ; MIN ; MEDIAN ; MAX ; Q1 ; Q3 ; 
0  ;  0,000000  ;  0,000000  ;  0,000000  ;  0,000000  ;  0,000000  ;  0,000000  ;  0,000000  ; 
1  ;  1094,040000  ;  193,383897  ;  844,000000  ;  1062,000000  ;  1516,000000  ;  922,000000  ;  1250,000000  ; 
2  ;  1710,210000  ;  248,515280  ;  1203,000000  ;  1672,000000  ;  2453,000000  ;  1640,000000  ;  1874,000000  ; 
3  ;  2566,070000  ;  258,476979  ;  2031,000000  ;  2563,000000  ;  3015,000000  ;  2422,000000  ;  2797,000000  ; 
4  ;  3057,830000  ;  167,046540  ;  2655,000000  ;  3092,000000  ;  3327,000000  ;  2999,000000  ;  3171,000000  ; 
5  ;  3462,900000  ;  175,197349  ;  3035,000000  ;  3453,000000  ;  3797,000000  ;  3297,000000  ;  3594,000000  ; 
6  ;  3840,380000  ;  185,559530  ;  3444,000000  ;  3866,000000  ;  4257,000000  ;  3710,000000  ;  3944,000000  ; 
7  ;  4151,040000  ;  171,990892  ;  3788,000000  ;  4179,000000  ;  4507,000000  ;  4054,000000  ;  4273,000000  ; 
8  ;  4487,200000  ;  182,094658  ;  4277,000000  ;  4465,000000  ;  4871,000000  ;  4293,000000  ;  4652,000000  ; 
9  ;  4777,330000  ;  174,371776  ;  4449,000000  ;  4792,000000  ;  5214,000000  ;  4668,000000  ;  4887,000000  ; 
10  ;  5125,720000  ;  181,101405  ;  4793,000000  ;  5152,000000  ;  5496,000000  ;  4965,000000  ;  5261,000000  ; 
11  ;  5526,610000  ;  161,675188  ;  5168,000000  ;  5543,000000  ;  5839,000000  ;  5371,000000  ;  5621,000000  ; 
12  ;  5876,590000  ;  188,018111  ;  5496,000000  ;  5855,000000  ;  6245,000000  ;  5746,000000  ;  6027,000000  ; 
13  ;  6158,750000  ;  166,294759  ;  5840,000000  ;  6167,000000  ;  6495,000000  ;  6074,000000  ;  6277,000000  ; 
14  ;  6470,370000  ;  184,901265  ;  6152,000000  ;  6496,000000  ;  6824,000000  ;  6293,000000  ;  6605,000000  ; 
15  ;  6803,460000  ;  178,740511  ;  6418,000000  ;  6808,000000  ;  7152,000000  ;  6636,000000  ;  6949,000000  ; 
16  ;  7078,000000  ;  172,583635  ;  6730,000000  ;  7105,000000  ;  7448,000000  ;  6934,000000  ;  7199,000000  ; 
17  ;  7385,990000  ;  157,902124  ;  7055,000000  ;  7383,000000  ;  7711,000000  ;  7306,000000  ;  7493,000000  ; 
18  ;  7748,230000  ;  160,123680  ;  7399,000000  ;  7805,000000  ;  8009,000000  ;  7681,000000  ;  7867,000000  ; 
19  ;  8056,010000  ;  143,942363  ;  7753,000000  ;  8065,000000  ;  8363,000000  ;  7956,000000  ;  8160,000000  ; 
20  ;  8292,820000  ;  175,971553  ;  8081,000000  ;  8284,000000  ;  8675,000000  ;  8097,000000  ;  8441,000000  ; 
21  ;  8571,690000  ;  174,931426  ;  8237,000000  ;  8613,000000  ;  8909,000000  ;  8410,000000  ;  8706,000000  ; 
22  ;  8894,340000  ;  185,895769  ;  8565,000000  ;  8863,000000  ;  9222,000000  ;  8769,000000  ;  9065,000000  ; 
23  ;  9209,990000  ;  151,290709  ;  8847,000000  ;  9238,000000  ;  9487,000000  ;  9144,000000  ;  9316,000000  ; 
24  ;  9490,430000  ;  167,971814  ;  9128,000000  ;  9549,000000  ;  9800,000000  ;  9378,000000  ;  9628,000000  ; 
25  ;  9801,380000  ;  180,874351  ;  9425,000000  ;  9831,000000  ;  10190,000000  ;  9643,000000  ;  9956,000000  ; 
26  ;  10061,530000  ;  157,607264  ;  9737,000000  ;  10100,000000  ;  10350,000000  ;  9929,000000  ;  10174,000000  ; 
27  ;  10391,340000  ;  163,964903  ;  10038,000000  ;  10429,000000  ;  10694,000000  ;  10257,000000  ;  10507,000000  ; 
28  ;  10670,950000  ;  176,389971  ;  10288,000000  ;  10710,000000  ;  11023,000000  ;  10523,000000  ;  10788,000000  ; 
29  ;  10973,040000  ;  153,940492  ;  10601,000000  ;  11007,000000  ;  11241,000000  ;  10867,000000  ;  11086,000000  ; 
30  ;  11230,860000  ;  184,777727  ;  10865,000000  ;  11271,000000  ;  11631,000000  ;  11131,000000  ;  11380,000000  ; 
31  ;  11528,060000  ;  178,961077  ;  11177,000000  ;  11553,000000  ;  11880,000000  ;  11396,000000  ;  11662,000000  ; 
32  ;  11820,980000  ;  173,241058  ;  11490,000000  ;  11818,000000  ;  12131,000000  ;  11725,000000  ;  11943,000000  ; 
33  ;  12132,830000  ;  189,484738  ;  11787,000000  ;  12193,000000  ;  12474,000000  ;  11974,000000  ;  12303,000000  ; 
34  ;  12364,930000  ;  168,036688  ;  12052,000000  ;  12397,000000  ;  12693,000000  ;  12240,000000  ;  12490,000000  ; 
35  ;  12677,390000  ;  160,685331  ;  12349,000000  ;  12693,000000  ;  13052,000000  ;  12568,000000  ;  12786,000000  ; 
36  ;  12949,040000  ;  176,348709  ;  12740,000000  ;  12943,000000  ;  13302,000000  ;  12756,000000  ;  13115,000000  ; 
37  ;  13252,400000  ;  175,185328  ;  12927,000000  ;  13287,000000  ;  13615,000000  ;  13100,000000  ;  13365,000000  ; 
38  ;  13561,140000  ;  165,475563  ;  13220,000000  ;  13604,000000  ;  13916,000000  ;  13447,000000  ;  13682,000000  ; 
39  ;  13870,000000  ;  160,114984  ;  13567,000000  ;  13895,000000  ;  14176,000000  ;  13693,000000  ;  13989,000000  ; 
40  ;  14170,810000  ;  161,590185  ;  13833,000000  ;  14192,000000  ;  14536,000000  ;  14052,000000  ;  14286,000000  ; 
41  ;  14394,860000  ;  174,355785  ;  14192,000000  ;  14395,000000  ;  14739,000000  ;  14208,000000  ;  14551,000000  ; 
42  ;  14736,400000  ;  188,967369  ;  14408,000000  ;  14711,000000  ;  15102,000000  ;  14617,000000  ;  14883,000000  ; 
43  ;  15014,880000  ;  163,621840  ;  14711,000000  ;  15039,000000  ;  15352,000000  ;  14899,000000  ;  15148,000000  ; 
44  ;  15300,560000  ;  171,347147  ;  14991,000000  ;  15306,000000  ;  15619,000000  ;  15150,000000  ;  15462,000000  ; 
45  ;  15607,030000  ;  186,177088  ;  15220,000000  ;  15642,000000  ;  15969,000000  ;  15454,000000  ;  15735,000000  ; 
46  ;  15922,120000  ;  158,493366  ;  15563,000000  ;  15969,000000  ;  16250,000000  ;  15813,000000  ;  16032,000000  ; 
47  ;  16245,620000  ;  180,649993  ;  15898,000000  ;  16246,000000  ;  16630,000000  ;  16104,000000  ;  16391,000000  ; 
48  ;  16490,970000  ;  177,174482  ;  16158,000000  ;  16511,000000  ;  16849,000000  ;  16365,000000  ;  16607,000000  ; 
49  ;  16809,320000  ;  157,360673  ;  16459,000000  ;  16837,000000  ;  17149,000000  ;  16650,000000  ;  16946,000000  ; 
50  ;  17080,170000  ;  166,383156  ;  16750,000000  ;  17099,000000  ;  17417,000000  ;  16934,000000  ;  17203,000000  ; 
51  ;  17353,970000  ;  177,431475  ;  17043,000000  ;  17371,000000  ;  17683,000000  ;  17199,000000  ;  17480,000000  ; 
52  ;  17640,100000  ;  160,801559  ;  17339,000000  ;  17658,000000  ;  18033,000000  ;  17518,000000  ;  17761,000000  ; 
53  ;  17959,480000  ;  160,935302  ;  17637,000000  ;  17965,000000  ;  18309,000000  ;  17871,000000  ;  18090,000000  ; 
54  ;  18277,750000  ;  155,495518  ;  17949,000000  ;  18293,000000  ;  18636,000000  ;  18168,000000  ;  18387,000000  ; 
55  ;  18555,440000  ;  160,080619  ;  18255,000000  ;  18573,000000  ;  18855,000000  ;  18449,000000  ;  18677,000000  ; 
56  ;  18891,220000  ;  170,639829  ;  18546,000000  ;  18890,000000  ;  19234,000000  ;  18781,000000  ;  19015,000000  ; 
57  ;  19199,150000  ;  179,536461  ;  18869,000000  ;  19228,000000  ;  19524,000000  ;  19041,000000  ;  19337,000000  ; 
58  ;  19451,160000  ;  163,223879  ;  19150,000000  ;  19493,000000  ;  19759,000000  ;  19306,000000  ;  19571,000000  ; 
59  ;  19784,340000  ;  160,824468  ;  19462,000000  ;  19821,000000  ;  20134,000000  ;  19665,000000  ;  19899,000000  ; 
60  ;  20125,040000  ;  162,946538  ;  19806,000000  ;  20150,000000  ;  20446,000000  ;  19993,000000  ;  20259,000000  ; 
61  ;  20460,460000  ;  178,335764  ;  20040,000000  ;  20477,000000  ;  20868,000000  ;  20431,000000  ;  20509,000000  ; 
62  ;  20862,240000  ;  166,798016  ;  20525,000000  ;  20899,000000  ;  21149,000000  ;  20759,000000  ;  20978,000000  ; 
63  ;  21204,700000  ;  180,663172  ;  20978,000000  ;  21181,000000  ;  21556,000000  ;  21025,000000  ;  21384,000000  ; 
64  ;  21511,210000  ;  167,649182  ;  21181,000000  ;  21524,000000  ;  21869,000000  ;  21415,000000  ;  21618,000000  ; 
65  ;  21872,730000  ;  205,293623  ;  21462,000000  ;  21884,000000  ;  22243,000000  ;  21821,000000  ;  22025,000000  ; 
66  ;  22326,160000  ;  175,312864  ;  21962,000000  ;  22352,000000  ;  22665,000000  ;  22291,000000  ;  22431,000000  ; 
67  ;  22673,410000  ;  166,123971  ;  22368,000000  ;  22681,000000  ;  22993,000000  ;  22556,000000  ;  22790,000000  ; 
68  ;  22957,890000  ;  161,827686  ;  22665,000000  ;  22978,000000  ;  23275,000000  ;  22806,000000  ;  23087,000000  ; 
69  ;  23228,320000  ;  152,775790  ;  22884,000000  ;  23275,000000  ;  23462,000000  ;  23165,000000  ;  23337,000000  ; 
70  ;  23528,220000  ;  164,569692  ;  23228,000000  ;  23541,000000  ;  23836,000000  ;  23384,000000  ;  23665,000000  ; 
71  ;  23808,420000  ;  148,908770  ;  23478,000000  ;  23852,000000  ;  24118,000000  ;  23681,000000  ;  23915,000000  ; 
72  ;  24073,120000  ;  157,517950  ;  23743,000000  ;  24118,000000  ;  24415,000000  ;  23962,000000  ;  24165,000000  ; 
73  ;  24362,610000  ;  163,191088  ;  23978,000000  ;  24400,000000  ;  24712,000000  ;  24228,000000  ;  24462,000000  ; 
74  ;  24604,890000  ;  157,940591  ;  24274,000000  ;  24665,000000  ;  24884,000000  ;  24478,000000  ;  24712,000000  ; 
75  ;  24912,280000  ;  172,418980  ;  24556,000000  ;  24946,000000  ;  25258,000000  ;  24821,000000  ;  25009,000000  ; 
76  ;  25196,070000  ;  159,876799  ;  24868,000000  ;  25228,000000  ;  25493,000000  ;  25040,000000  ;  25306,000000  ; 
77  ;  25539,020000  ;  179,555286  ;  25306,000000  ;  25540,000000  ;  25884,000000  ;  25353,000000  ;  25712,000000  ; 
78  ;  25722,680000  ;  160,636165  ;  25415,000000  ;  25775,000000  ;  26039,000000  ;  25572,000000  ;  25852,000000  ; 
79  ;  26075,490000  ;  163,611544  ;  25696,000000  ;  26118,000000  ;  26415,000000  ;  25931,000000  ;  26181,000000  ; 
80  ;  26399,340000  ;  162,265042  ;  26071,000000  ;  26431,000000  ;  26680,000000  ;  26258,000000  ;  26524,000000  ; 
81  ;  26647,420000  ;  171,111292  ;  26321,000000  ;  26696,000000  ;  26977,000000  ;  26493,000000  ;  26774,000000  ; 
82  ;  26924,720000  ;  150,640792  ;  26618,000000  ;  26931,000000  ;  27258,000000  ;  26821,000000  ;  27040,000000  ; 
83  ;  27203,050000  ;  168,587499  ;  26899,000000  ;  27181,000000  ;  27524,000000  ;  27102,000000  ;  27336,000000  ; 
84  ;  27532,330000  ;  188,205296  ;  27196,000000  ;  27586,000000  ;  27915,000000  ;  27353,000000  ;  27680,000000  ; 
85  ;  27818,760000  ;  161,941261  ;  27493,000000  ;  27821,000000  ;  28102,000000  ;  27696,000000  ;  27946,000000  ; 
86  ;  28081,970000  ;  165,809764  ;  27821,000000  ;  28133,000000  ;  28411,000000  ;  27911,000000  ;  28228,000000  ; 
87  ;  28404,160000  ;  174,143893  ;  28099,000000  ;  28442,000000  ;  28770,000000  ;  28239,000000  ;  28536,000000  ; 
88  ;  28716,770000  ;  173,876065  ;  28395,000000  ;  28755,000000  ;  29083,000000  ;  28567,000000  ;  28833,000000  ; 
89  ;  29025,040000  ;  157,937395  ;  28692,000000  ;  29020,000000  ;  29302,000000  ;  28864,000000  ;  29161,000000  ; 
90  ;  29281,770000  ;  167,774732  ;  28958,000000  ;  29317,000000  ;  29661,000000  ;  29145,000000  ;  29411,000000  ; 
