#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Configuration
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
solver name          = SClearingReplace(2)
random seed          = 123
number of runs       = 10

solver type         = GA
stop criteria       = MaxEvaluations 50000.0

problem name        = bits.nkLandscapes.NKSeq 128 3 128
population type     = SimplePopulation 64

selection           = MTournamentSelection 2.0 2
recombination       = Uniform 0.75 0.5
mutation            = FlipBit -1.0
replacement         = ClearingReplace
rescaling           = AdaptiveCeiling 1.0

statistic           = BestFitness
statistic           = CopiesOfMaxima
statistic           = Generation
statistic           = GeneticDiversity
statistic           = Individuals
statistic           = SucessRate
statistic           = Time
statistic           = FunctionCalls

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Evolution 
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
Result                        BestFitness       CopiesOfMaxima           Generation     GeneticDiversity          Individuals           SucessRate                 Time        FunctionCalls
MEAN                                  128                    1                450.6   0.0755513925658827                   64                    1              18052.7              50033.3
STD                                     0                    0   0.6992058987727012  2.04439224589736E-03                    0                    0   59.098881358001876   23.475992461505864
MIN                                   128                    1                  450  0.07174617096375448                   64                    1                17961                50000
MEDIAN                                128                    1                  451  0.07558455781216213                   64                    1                18070                50031
MAX                                   128                    1                  452     0.07876224759958                   64                    1                18142                50074

SOLVER 0                            128.0                  1.0                450.0  0.07467975623121399                 64.0                  1.0              18106.0              50059.0
SOLVER 1                            128.0                  1.0                452.0  0.07558455781216213                 64.0                  1.0              18142.0              50022.0
SOLVER 2                            128.0                  1.0                451.0  0.07599413764316205                 64.0                  1.0              17969.0              50042.0
SOLVER 3                            128.0                  1.0                451.0  0.07174617096375448                 64.0                  1.0              18100.0              50020.0
SOLVER 4                            128.0                  1.0                451.0  0.07416745889829045                 64.0                  1.0              17961.0              50074.0
SOLVER 5                            128.0                  1.0                450.0   0.0778084272819865                 64.0                  1.0              18084.0              50055.0
SOLVER 6                            128.0                  1.0                450.0     0.07876224759958                 64.0                  1.0              18047.0              50013.0
SOLVER 7                            128.0                  1.0                450.0  0.07425682805813642                 64.0                  1.0              18022.0              50000.0
SOLVER 8                            128.0                  1.0                450.0  0.07521121127102916                 64.0                  1.0              18026.0              50017.0
SOLVER 9                            128.0                  1.0                451.0  0.07730312989951188                 64.0                  1.0              18070.0              50031.0


HALL OF FAME
                 128 = 01111100000110001110010110100001000000111001001011100010001011100011011011010110100101011000011111101101000101101110010001001111	(NKSeq) OPTIMUM 
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Evolution Statistics in generations
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::


                    ____________________________________________________________________BestFitness____________________________________________________________________ 		__________________________________________________________________CopiesOfMaxima___________________________________________________________________ 		____________________________________________________________________Generation_____________________________________________________________________ 		_________________________________________________________________GeneticDiversity__________________________________________________________________ 		____________________________________________________________________Individuals____________________________________________________________________ 		____________________________________________________________________SucessRate_____________________________________________________________________ 		_______________________________________________________________________Time________________________________________________________________________ 		___________________________________________________________________FunctionCalls___________________________________________________________________ 		
                                    MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		
STATISTIC 0            84.53153963031531   2.1487852291976157    80.34322371549916     84.9956145999026    88.02035983045616    83.85612282300525    85.72614411797507  		                   1                    0                    1                    1                    1                    1                    1  		                   1                    0                    1                    1                    1                    1                    1  		  0.9708635661515295  5.15249491244425E-03   0.9642300945432819   0.9716269251501091    0.979142735850607   0.9663092123334466   0.9733658657024198  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		                   0                    0                    0                    0                    0                    0                    0  		               110.4    2.836272984824239                  105                  112                  113                  108                  113  		
STATISTIC 1            87.36307445726887    1.946377791615456    84.59337291342257    87.29508939649186    91.24981353484037    86.20119997851481    88.38736203555426  		                   1                    0                    1                    1                    1                    1                    1  		                   2                    0                    2                    2                    2                    2                    2  		  0.9445462925567656  9.36429329010138E-03   0.9329767949661332   0.9463849187194329   0.9615209748923181   0.9359067758773151    0.951892728610102  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		               317.8   127.70521611203758                  127                  298                  492                  240                  480  		               222.2    4.049691346262998                  212                  223                  226                  222                  225  		
STATISTIC 2            91.03691208708327    2.250580812826806     87.4615025418249    91.89131183596271    94.36002233852408     89.3549213347923     92.3574545952356  		                   1                    0                    1                    1                    1                    1                    1  		                   4                    0                    4                    4                    4                    4                    4  		  0.8796567308706422  0.02712998320619014    0.815809695891167     0.88251143851434   0.9068390917014891   0.8664303647050978    0.902886728859636  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		               881.7    87.43766033263014                  730                  896                  981                  852                  967  		               442.8    8.162243700247657                  430                  443                  455                  438                  449  		
STATISTIC 3             93.0424141515482   2.5159253651256464      90.425604765416    93.19333522734215    98.57105218068564    90.68150246015166    93.66586171756872  		                   1                    0                    1                    1                    1                    1                    1  		                   5                    0                    5                    5                    5                    5                    5  		  0.8402910318982464  0.03213442941696732   0.7680252950733719   0.8554271400132689   0.8774284794533362   0.8187472699747366    0.859905144651671  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		              1028.5    61.30298162043634                  918                 1039                 1108                 1006                 1073  		               554.3    7.703534542302955                  540                  556                  564                  554                  558  		
STATISTIC 4            97.15342317278666    2.277921106103097    94.58623674449943    97.02629208053536   102.26776290372968    95.44922629947988     98.3547850252696  		                   1                    0                    1                    1                    1                    1                    1  		                   7                    0                    7                    7                    7                    7                    7  		  0.7638096019306047  0.04398874965257478    0.677544442666497   0.7813825254069435   0.8254714936586091   0.7345658979547683   0.7896254886772662  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		              1454.9    62.49524426350688                 1332                 1483                 1513                 1449                 1496  		               775.4    10.55356706416457                  761                  779                  791                  763                  780  		
STATISTIC 5            99.13001101667096    2.429010140581069    95.66517287605478     98.5297409751003   102.26776290372968    96.80767939746124   101.95437934164963  		                   1                    0                    1                    1                    1                    1                    1  		                   8                    0                    8                    8                    8                    8                    8  		   0.724267226137089  0.04898330288834718   0.6579749090123167     0.74649014308309   0.7975468765404026   0.6902686458692276   0.7503110060507225  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		                1700     67.5359986311827                 1573                 1713                 1827                 1675                 1717  		               885.7   12.202458768623584                  866                  892                  902                  876                  894  		
STATISTIC 6           102.35978802732491   2.7176451520529907    98.87150517235789   102.69184454276369    107.4241939298109    99.66226313734404   104.16804610477392  		                   1                    0                    1                    1                    1                    1                    1  		                  10                    0                   10                   10                   10                   10                   10  		  0.6457753714235508  4.91615474789367E-02   0.5697815568077446   0.6631055333011873   0.7152512720992272   0.6006011333719898   0.6754307587273789  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		              1988.7   57.577098070520954                 1882                 2014                 2042                 1989                 2031  		              1111.9   12.467290536976137                 1090                 1117                 1130                 1101                 1119  		
STATISTIC 7           103.92791463711731   2.8574502489399554    99.29858420568168   104.45971976085696   108.90017437306732   102.11637882717169   104.89520101014216  		                   1                    0                    1                    1                    1                    1                    1  		                  11                    0                   11                   11                   11                   11                   11  		  0.6055449038288608   0.0489038213781597   0.5233634696546418   0.6098452444795724   0.6735359214966891   0.5719944638391314   0.6397300996578847  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		              2096.1    66.15209747241454                 1977                 2117                 2178                 2088                 2137  		              1223.7   13.021776632496247                 1203                 1224                 1243                 1216                 1232  		
STATISTIC 8           108.02354310836297   2.8273640539873295   103.60502939354346   108.85715588229564   112.37474933133211   105.78951527887571   110.24216333260028  		                   1                    0                    1                    1                    1                    1                    1  		                  13                    0                   13                   13                   13                   13                   13  		  0.5238772126905515  0.05915315467074205  0.44310252228471375   0.5348787731783234   0.6204432865790075  0.46855898393445466   0.5560876108680457  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		              2355.5   58.283311886374854                 2265                 2365                 2450                 2334                 2396  		              1443.6   17.895995827740382                 1419                 1446                 1474                 1430                 1459  		
