Statistic  ; Generation ; Individuals ; SucessRate ; Time ; FunctionCalls
MEAN ; 100,000000 ; 128,000000 ; 1,000000 ; 31175,440000 ; 11114,410000
STD ; 0,000000 ; 0,000000 ; 0,000000 ; 143,824200 ; 43,476476
MIN ; 100,000000 ; 128,000000 ; 1,000000 ; 30936,000000 ; 11009,000000
MEDIAN ; 100,000000 ; 128,000000 ; 1,000000 ; 31108,000000 ; 11112,000000
MAX ; 100,000000 ; 128,000000 ; 1,000000 ; 31389,000000 ; 11249,000000
Q1 ; 100,000000 ; 128,000000 ; 1,000000 ; 31061,000000 ; 11080,000000
Q3 ; 100,000000 ; 128,000000 ; 1,000000 ; 31327,000000 ; 11145,000000

Solvers
Solver 0 ; 100,000000 ; 128,000000 ; 1,000000 ; 30936,000000 ; 11104,000000
Solver 1 ; 100,000000 ; 128,000000 ; 1,000000 ; 31030,000000 ; 11084,000000
Solver 2 ; 100,000000 ; 128,000000 ; 1,000000 ; 31046,000000 ; 11053,000000
Solver 3 ; 100,000000 ; 128,000000 ; 1,000000 ; 30984,000000 ; 11081,000000
Solver 4 ; 100,000000 ; 128,000000 ; 1,000000 ; 31046,000000 ; 11036,000000
Solver 5 ; 100,000000 ; 128,000000 ; 1,000000 ; 31046,000000 ; 11079,000000
Solver 6 ; 100,000000 ; 128,000000 ; 1,000000 ; 30968,000000 ; 11089,000000
Solver 7 ; 100,000000 ; 128,000000 ; 1,000000 ; 31046,000000 ; 11139,000000
Solver 8 ; 100,000000 ; 128,000000 ; 1,000000 ; 31046,000000 ; 11070,000000
Solver 9 ; 100,000000 ; 128,000000 ; 1,000000 ; 30968,000000 ; 11155,000000
Solver 10 ; 100,000000 ; 128,000000 ; 1,000000 ; 31062,000000 ; 11162,000000
Solver 11 ; 100,000000 ; 128,000000 ; 1,000000 ; 31062,000000 ; 11040,000000
Solver 12 ; 100,000000 ; 128,000000 ; 1,000000 ; 30984,000000 ; 11080,000000
Solver 13 ; 100,000000 ; 128,000000 ; 1,000000 ; 30984,000000 ; 11083,000000
Solver 14 ; 100,000000 ; 128,000000 ; 1,000000 ; 31000,000000 ; 11145,000000
Solver 15 ; 100,000000 ; 128,000000 ; 1,000000 ; 31062,000000 ; 11249,000000
Solver 16 ; 100,000000 ; 128,000000 ; 1,000000 ; 31062,000000 ; 11127,000000
