Function Calls

Generation ; MEAN ; STD ; MIN ; MEDIAN ; MAX ; Q1 ; Q3 ; 
0  ;  111,010000  ;  4,125543  ;  97,000000  ;  111,000000  ;  121,000000  ;  108,000000  ;  114,000000  ; 
1  ;  222,880000  ;  5,650208  ;  209,000000  ;  223,000000  ;  233,000000  ;  219,000000  ;  227,000000  ; 
2  ;  334,030000  ;  6,275582  ;  320,000000  ;  335,000000  ;  350,000000  ;  330,000000  ;  338,000000  ; 
3  ;  445,380000  ;  8,053834  ;  426,000000  ;  446,000000  ;  465,000000  ;  440,000000  ;  451,000000  ; 
4  ;  556,690000  ;  8,866798  ;  536,000000  ;  557,000000  ;  583,000000  ;  550,000000  ;  562,000000  ; 
5  ;  667,800000  ;  9,381908  ;  647,000000  ;  668,000000  ;  698,000000  ;  662,000000  ;  674,000000  ; 
6  ;  779,400000  ;  10,588730  ;  752,000000  ;  778,000000  ;  811,000000  ;  773,000000  ;  786,000000  ; 
7  ;  890,550000  ;  11,019152  ;  861,000000  ;  890,000000  ;  917,000000  ;  885,000000  ;  897,000000  ; 
8  ;  1002,230000  ;  11,543379  ;  964,000000  ;  1002,000000  ;  1031,000000  ;  997,000000  ;  1009,000000  ; 
9  ;  1113,410000  ;  11,533084  ;  1079,000000  ;  1114,000000  ;  1139,000000  ;  1107,000000  ;  1120,000000  ; 
10  ;  1224,570000  ;  12,111648  ;  1194,000000  ;  1224,000000  ;  1248,000000  ;  1217,000000  ;  1234,000000  ; 
11  ;  1336,300000  ;  13,008544  ;  1307,000000  ;  1335,000000  ;  1367,000000  ;  1327,000000  ;  1347,000000  ; 
12  ;  1447,320000  ;  13,653638  ;  1420,000000  ;  1449,000000  ;  1479,000000  ;  1437,000000  ;  1458,000000  ; 
13  ;  1558,930000  ;  14,448274  ;  1527,000000  ;  1559,000000  ;  1593,000000  ;  1548,000000  ;  1569,000000  ; 
14  ;  1670,050000  ;  14,621401  ;  1637,000000  ;  1671,000000  ;  1705,000000  ;  1659,000000  ;  1679,000000  ; 
15  ;  1781,220000  ;  15,584621  ;  1743,000000  ;  1781,000000  ;  1818,000000  ;  1771,000000  ;  1792,000000  ; 
16  ;  1892,230000  ;  16,049705  ;  1859,000000  ;  1893,000000  ;  1932,000000  ;  1882,000000  ;  1902,000000  ; 
17  ;  2003,300000  ;  17,001188  ;  1969,000000  ;  2004,000000  ;  2046,000000  ;  1992,000000  ;  2015,000000  ; 
18  ;  2114,720000  ;  17,115815  ;  2075,000000  ;  2115,000000  ;  2155,000000  ;  2103,000000  ;  2125,000000  ; 
19  ;  2225,360000  ;  16,958369  ;  2188,000000  ;  2224,000000  ;  2268,000000  ;  2215,000000  ;  2237,000000  ; 
20  ;  2336,100000  ;  17,641491  ;  2302,000000  ;  2336,000000  ;  2383,000000  ;  2325,000000  ;  2348,000000  ; 
