Time

Generation ; MEAN ; STD ; MIN ; MEDIAN ; MAX ; Q1 ; Q3 ; 
0  ;  0,000000  ;  0,000000  ;  0,000000  ;  0,000000  ;  0,000000  ;  0,000000  ;  0,000000  ; 
1  ;  504,340000  ;  15,009909  ;  484,000000  ;  500,000000  ;  562,000000  ;  500,000000  ;  500,000000  ; 
2  ;  898,140000  ;  20,974260  ;  875,000000  ;  891,000000  ;  953,000000  ;  890,000000  ;  906,000000  ; 
3  ;  1571,630000  ;  241,598994  ;  953,000000  ;  1735,000000  ;  1797,000000  ;  1359,000000  ;  1750,000000  ; 
4  ;  2029,850000  ;  128,757573  ;  1781,000000  ;  2062,000000  ;  2265,000000  ;  1937,000000  ;  2125,000000  ; 
5  ;  2522,540000  ;  119,968971  ;  2298,000000  ;  2562,000000  ;  2733,000000  ;  2434,000000  ;  2624,000000  ; 
6  ;  2991,880000  ;  161,553961  ;  2743,000000  ;  2969,000000  ;  3375,000000  ;  2892,000000  ;  3031,000000  ; 
7  ;  3436,130000  ;  154,392040  ;  3172,000000  ;  3491,000000  ;  3694,000000  ;  3257,000000  ;  3554,000000  ; 
8  ;  3754,780000  ;  122,243884  ;  3538,000000  ;  3757,000000  ;  4038,000000  ;  3663,000000  ;  3850,000000  ; 
9  ;  4078,680000  ;  179,020166  ;  3839,000000  ;  4027,000000  ;  4387,000000  ;  3950,000000  ;  4324,000000  ; 
10  ;  4494,370000  ;  107,385236  ;  4308,000000  ;  4496,000000  ;  4730,000000  ;  4418,000000  ;  4574,000000  ; 
11  ;  4786,590000  ;  116,432067  ;  4543,000000  ;  4793,000000  ;  5011,000000  ;  4714,000000  ;  4871,000000  ; 
12  ;  5039,930000  ;  160,698806  ;  4808,000000  ;  4996,000000  ;  5449,000000  ;  4917,000000  ;  5183,000000  ; 
13  ;  5519,260000  ;  123,975610  ;  5293,000000  ;  5527,000000  ;  5792,000000  ;  5418,000000  ;  5620,000000  ; 
14  ;  5813,060000  ;  100,796106  ;  5652,000000  ;  5793,000000  ;  6105,000000  ;  5761,000000  ;  5855,000000  ; 
15  ;  6141,330000  ;  116,504828  ;  5855,000000  ;  6152,000000  ;  6386,000000  ;  6058,000000  ;  6230,000000  ; 
16  ;  6401,500000  ;  51,424653  ;  6152,000000  ;  6402,000000  ;  6480,000000  ;  6402,000000  ;  6418,000000  ; 
17  ;  6739,600000  ;  142,867531  ;  6464,000000  ;  6761,000000  ;  6995,000000  ;  6652,000000  ;  6855,000000  ; 
18  ;  7026,330000  ;  109,250990  ;  6851,000000  ;  7009,000000  ;  7289,000000  ;  6946,000000  ;  7117,000000  ; 
19  ;  7342,690000  ;  134,844369  ;  7117,000000  ;  7321,000000  ;  7555,000000  ;  7243,000000  ;  7477,000000  ; 
20  ;  7633,350000  ;  109,018058  ;  7443,000000  ;  7631,000000  ;  7878,000000  ;  7552,000000  ;  7722,000000  ; 
21  ;  7939,070000  ;  164,032471  ;  7675,000000  ;  7894,000000  ;  8175,000000  ;  7800,000000  ;  8097,000000  ; 
22  ;  8214,360000  ;  118,089721  ;  7988,000000  ;  8222,000000  ;  8440,000000  ;  8128,000000  ;  8300,000000  ; 
23  ;  8525,580000  ;  100,983965  ;  8332,000000  ;  8534,000000  ;  8768,000000  ;  8456,000000  ;  8597,000000  ; 
24  ;  8836,190000  ;  48,580807  ;  8768,000000  ;  8831,000000  ;  9018,000000  ;  8800,000000  ;  8863,000000  ; 
25  ;  9095,220000  ;  121,093718  ;  8846,000000  ;  9097,000000  ;  9331,000000  ;  9018,000000  ;  9190,000000  ; 
26  ;  9379,330000  ;  126,035433  ;  9159,000000  ;  9378,000000  ;  9674,000000  ;  9285,000000  ;  9456,000000  ; 
27  ;  9661,640000  ;  98,405830  ;  9456,000000  ;  9679,000000  ;  9851,000000  ;  9585,000000  ;  9742,000000  ; 
28  ;  9955,590000  ;  122,644933  ;  9741,000000  ;  9961,000000  ;  10242,000000  ;  9851,000000  ;  10039,000000  ; 
29  ;  10239,520000  ;  115,450674  ;  10022,000000  ;  10257,000000  ;  10476,000000  ;  10148,000000  ;  10320,000000  ; 
30  ;  10510,040000  ;  110,414638  ;  10304,000000  ;  10523,000000  ;  10725,000000  ;  10429,000000  ;  10601,000000  ; 
31  ;  10827,410000  ;  120,105265  ;  10615,000000  ;  10818,000000  ;  11131,000000  ;  10740,000000  ;  10911,000000  ; 
32  ;  11183,730000  ;  110,721404  ;  10958,000000  ;  11193,000000  ;  11427,000000  ;  11115,000000  ;  11255,000000  ; 
33  ;  11466,460000  ;  86,552304  ;  11302,000000  ;  11474,000000  ;  11630,000000  ;  11412,000000  ;  11521,000000  ; 
34  ;  11722,070000  ;  108,841025  ;  11505,000000  ;  11725,000000  ;  11990,000000  ;  11646,000000  ;  11802,000000  ; 
35  ;  12100,300000  ;  75,913095  ;  11880,000000  ;  12114,000000  ;  12224,000000  ;  12084,000000  ;  12146,000000  ; 
36  ;  12326,760000  ;  120,037462  ;  12068,000000  ;  12318,000000  ;  12583,000000  ;  12225,000000  ;  12428,000000  ; 
37  ;  12625,920000  ;  53,043660  ;  12364,000000  ;  12631,000000  ;  12693,000000  ;  12630,000000  ;  12646,000000  ; 
38  ;  12912,920000  ;  108,495094  ;  12739,000000  ;  12896,000000  ;  13146,000000  ;  12818,000000  ;  13021,000000  ; 
39  ;  13208,640000  ;  102,414440  ;  12970,000000  ;  13229,000000  ;  13431,000000  ;  13137,000000  ;  13291,000000  ; 
40  ;  13478,420000  ;  117,853203  ;  13260,000000  ;  13489,000000  ;  13645,000000  ;  13379,000000  ;  13599,000000  ; 
41  ;  13744,750000  ;  108,646064  ;  13535,000000  ;  13754,000000  ;  14005,000000  ;  13676,000000  ;  13833,000000  ; 
42  ;  14093,980000  ;  152,744256  ;  13785,000000  ;  14161,000000  ;  14270,000000  ;  13911,000000  ;  14207,000000  ; 
43  ;  14358,510000  ;  88,299364  ;  14142,000000  ;  14367,000000  ;  14523,000000  ;  14320,000000  ;  14414,000000  ; 
44  ;  14583,160000  ;  118,030446  ;  14367,000000  ;  14586,000000  ;  14836,000000  ;  14507,000000  ;  14679,000000  ; 
45  ;  14889,990000  ;  146,927007  ;  14648,000000  ;  14853,000000  ;  15071,000000  ;  14742,000000  ;  15040,000000  ; 
46  ;  15230,820000  ;  129,703810  ;  14953,000000  ;  15251,000000  ;  15500,000000  ;  15157,000000  ;  15329,000000  ; 
47  ;  15528,460000  ;  105,322249  ;  15328,000000  ;  15532,000000  ;  15766,000000  ;  15453,000000  ;  15610,000000  ; 
48  ;  15823,640000  ;  115,787468  ;  15563,000000  ;  15882,000000  ;  16012,000000  ;  15742,000000  ;  15914,000000  ; 
49  ;  16129,190000  ;  107,246313  ;  15891,000000  ;  16131,000000  ;  16349,000000  ;  16063,000000  ;  16209,000000  ; 
