Generation

Generation ; MEAN ; STD ; MIN ; MEDIAN ; MAX ; Q1 ; Q3 ; 
0  ;  1,000000  ;  0,000000  ;  1,000000  ;  1,000000  ;  1,000000  ;  1,000000  ;  1,000000  ; 
1  ;  2,000000  ;  0,000000  ;  2,000000  ;  2,000000  ;  2,000000  ;  2,000000  ;  2,000000  ; 
2  ;  3,000000  ;  0,000000  ;  3,000000  ;  3,000000  ;  3,000000  ;  3,000000  ;  3,000000  ; 
3  ;  4,000000  ;  0,000000  ;  4,000000  ;  4,000000  ;  4,000000  ;  4,000000  ;  4,000000  ; 
4  ;  5,000000  ;  0,000000  ;  5,000000  ;  5,000000  ;  5,000000  ;  5,000000  ;  5,000000  ; 
5  ;  6,000000  ;  0,000000  ;  6,000000  ;  6,000000  ;  6,000000  ;  6,000000  ;  6,000000  ; 
6  ;  7,000000  ;  0,000000  ;  7,000000  ;  7,000000  ;  7,000000  ;  7,000000  ;  7,000000  ; 
7  ;  8,000000  ;  0,000000  ;  8,000000  ;  8,000000  ;  8,000000  ;  8,000000  ;  8,000000  ; 
8  ;  9,000000  ;  0,000000  ;  9,000000  ;  9,000000  ;  9,000000  ;  9,000000  ;  9,000000  ; 
9  ;  10,000000  ;  0,000000  ;  10,000000  ;  10,000000  ;  10,000000  ;  10,000000  ;  10,000000  ; 
10  ;  11,000000  ;  0,000000  ;  11,000000  ;  11,000000  ;  11,000000  ;  11,000000  ;  11,000000  ; 
11  ;  12,000000  ;  0,000000  ;  12,000000  ;  12,000000  ;  12,000000  ;  12,000000  ;  12,000000  ; 
12  ;  13,000000  ;  0,000000  ;  13,000000  ;  13,000000  ;  13,000000  ;  13,000000  ;  13,000000  ; 
13  ;  14,000000  ;  0,000000  ;  14,000000  ;  14,000000  ;  14,000000  ;  14,000000  ;  14,000000  ; 
14  ;  15,000000  ;  0,000000  ;  15,000000  ;  15,000000  ;  15,000000  ;  15,000000  ;  15,000000  ; 
15  ;  16,000000  ;  0,000000  ;  16,000000  ;  16,000000  ;  16,000000  ;  16,000000  ;  16,000000  ; 
16  ;  17,000000  ;  0,000000  ;  17,000000  ;  17,000000  ;  17,000000  ;  17,000000  ;  17,000000  ; 
17  ;  18,000000  ;  0,000000  ;  18,000000  ;  18,000000  ;  18,000000  ;  18,000000  ;  18,000000  ; 
18  ;  19,000000  ;  0,000000  ;  19,000000  ;  19,000000  ;  19,000000  ;  19,000000  ;  19,000000  ; 
19  ;  20,000000  ;  0,000000  ;  20,000000  ;  20,000000  ;  20,000000  ;  20,000000  ;  20,000000  ; 
20  ;  21,000000  ;  0,000000  ;  21,000000  ;  21,000000  ;  21,000000  ;  21,000000  ;  21,000000  ; 
21  ;  22,000000  ;  0,000000  ;  22,000000  ;  22,000000  ;  22,000000  ;  22,000000  ;  22,000000  ; 
22  ;  23,000000  ;  0,000000  ;  23,000000  ;  23,000000  ;  23,000000  ;  23,000000  ;  23,000000  ; 
23  ;  24,000000  ;  0,000000  ;  24,000000  ;  24,000000  ;  24,000000  ;  24,000000  ;  24,000000  ; 
24  ;  25,000000  ;  0,000000  ;  25,000000  ;  25,000000  ;  25,000000  ;  25,000000  ;  25,000000  ; 
25  ;  26,000000  ;  0,000000  ;  26,000000  ;  26,000000  ;  26,000000  ;  26,000000  ;  26,000000  ; 
26  ;  27,000000  ;  0,000000  ;  27,000000  ;  27,000000  ;  27,000000  ;  27,000000  ;  27,000000  ; 
27  ;  28,000000  ;  0,000000  ;  28,000000  ;  28,000000  ;  28,000000  ;  28,000000  ;  28,000000  ; 
28  ;  29,000000  ;  0,000000  ;  29,000000  ;  29,000000  ;  29,000000  ;  29,000000  ;  29,000000  ; 
29  ;  30,000000  ;  0,000000  ;  30,000000  ;  30,000000  ;  30,000000  ;  30,000000  ;  30,000000  ; 
30  ;  31,000000  ;  0,000000  ;  31,000000  ;  31,000000  ;  31,000000  ;  31,000000  ;  31,000000  ; 
31  ;  32,000000  ;  0,000000  ;  32,000000  ;  32,000000  ;  32,000000  ;  32,000000  ;  32,000000  ; 
32  ;  33,000000  ;  0,000000  ;  33,000000  ;  33,000000  ;  33,000000  ;  33,000000  ;  33,000000  ; 
33  ;  34,000000  ;  0,000000  ;  34,000000  ;  34,000000  ;  34,000000  ;  34,000000  ;  34,000000  ; 
34  ;  35,000000  ;  0,000000  ;  35,000000  ;  35,000000  ;  35,000000  ;  35,000000  ;  35,000000  ; 
35  ;  36,000000  ;  0,000000  ;  36,000000  ;  36,000000  ;  36,000000  ;  36,000000  ;  36,000000  ; 
