#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Configuration
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
solver name          = SGA-64
random seed          = 123
number of runs       = 100

solver type         = GA
stop criteria       = MaxGeneration 101

problem name        = bits.OneMax 128
population type     = SimplePopulation 64

selection           = MTournamentSelection 2.0 2
recombination       = Uniform 0.75 0.5
mutation            = FlipBit -1.0
replacement         = TournamentReplacement
rescaling           = AdaptiveCeiling 1.5

statistic           = Generation
statistic           = Individuals
statistic           = SucessRate
statistic           = Time
statistic           = FunctionCalls

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Evolution 
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
Result                         Generation          Individuals           SucessRate                 Time        FunctionCalls
MEAN                                  100                   64                    1             31380.53             11113.95
STD                                     0                    0                    0    282.0986092726661    40.70821896016935
MIN                                   100                   64                    1                30531                10981
MEDIAN                                100                   64                    1                31515                11114
MAX                                   100                   64                    1                31890                11205

SOLVER 0                            100.0                 64.0                  1.0              31890.0              11123.0
SOLVER 1                            100.0                 64.0                  1.0              31811.0              11035.0
SOLVER 2                            100.0                 64.0                  1.0              31827.0              11072.0
SOLVER 3                            100.0                 64.0                  1.0              31811.0              11198.0
SOLVER 4                            100.0                 64.0                  1.0              31827.0              11104.0
SOLVER 5                            100.0                 64.0                  1.0              31811.0              11126.0
SOLVER 6                            100.0                 64.0                  1.0              30531.0              11055.0
SOLVER 7                            100.0                 64.0                  1.0              31796.0              11147.0
SOLVER 8                            100.0                 64.0                  1.0              30531.0              11142.0
SOLVER 9                            100.0                 64.0                  1.0              30546.0              11149.0
SOLVER 10                           100.0                 64.0                  1.0              31125.0              11067.0
SOLVER 11                           100.0                 64.0                  1.0              31125.0              11133.0
SOLVER 12                           100.0                 64.0                  1.0              31140.0              11107.0
SOLVER 13                           100.0                 64.0                  1.0              31140.0              11124.0
SOLVER 14                           100.0                 64.0                  1.0              31155.0              11116.0
SOLVER 15                           100.0                 64.0                  1.0              31155.0              11142.0
SOLVER 16                           100.0                 64.0                  1.0              31155.0              11099.0
SOLVER 17                           100.0                 64.0                  1.0              31155.0              11116.0
SOLVER 18                           100.0                 64.0                  1.0              31171.0              11099.0
SOLVER 19                           100.0                 64.0                  1.0              31171.0              11054.0
SOLVER 20                           100.0                 64.0                  1.0              31171.0              11084.0
SOLVER 21                           100.0                 64.0                  1.0              31171.0              11114.0
SOLVER 22                           100.0                 64.0                  1.0              31187.0              10981.0
SOLVER 23                           100.0                 64.0                  1.0              31187.0              11141.0
SOLVER 24                           100.0                 64.0                  1.0              31187.0              11170.0
SOLVER 25                           100.0                 64.0                  1.0              31187.0              11088.0
SOLVER 26                           100.0                 64.0                  1.0              31187.0              11098.0
SOLVER 27                           100.0                 64.0                  1.0              31187.0              11072.0
SOLVER 28                           100.0                 64.0                  1.0              31187.0              11059.0
SOLVER 29                           100.0                 64.0                  1.0              31187.0              11036.0
SOLVER 30                           100.0                 64.0                  1.0              31218.0              11135.0
SOLVER 31                           100.0                 64.0                  1.0              31218.0              11126.0
SOLVER 32                           100.0                 64.0                  1.0              31218.0              11108.0
SOLVER 33                           100.0                 64.0                  1.0              31218.0              11158.0
SOLVER 34                           100.0                 64.0                  1.0              30578.0              11109.0
SOLVER 35                           100.0                 64.0                  1.0              31218.0              11154.0
SOLVER 36                           100.0                 64.0                  1.0              31218.0              11091.0
SOLVER 37                           100.0                 64.0                  1.0              31218.0              11102.0
SOLVER 38                           100.0                 64.0                  1.0              30718.0              11117.0
SOLVER 39                           100.0                 64.0                  1.0              30656.0              11147.0
SOLVER 40                           100.0                 64.0                  1.0              31358.0              11089.0
SOLVER 41                           100.0                 64.0                  1.0              30905.0              11131.0
SOLVER 42                           100.0                 64.0                  1.0              30905.0              11112.0
SOLVER 43                           100.0                 64.0                  1.0              31312.0              11157.0
SOLVER 44                           100.0                 64.0                  1.0              31499.0              11180.0
SOLVER 45                           100.0                 64.0                  1.0              31499.0              11099.0
SOLVER 46                           100.0                 64.0                  1.0              31499.0              11119.0
SOLVER 47                           100.0                 64.0                  1.0              31515.0              11103.0
SOLVER 48                           100.0                 64.0                  1.0              31515.0              11149.0
SOLVER 49                           100.0                 64.0                  1.0              31515.0              11050.0
SOLVER 50                           100.0                 64.0                  1.0              31515.0              11131.0
SOLVER 51                           100.0                 64.0                  1.0              31500.0              11121.0
SOLVER 52                           100.0                 64.0                  1.0              31500.0              11088.0
SOLVER 53                           100.0                 64.0                  1.0              31500.0              11104.0
SOLVER 54                           100.0                 64.0                  1.0              31500.0              11097.0
SOLVER 55                           100.0                 64.0                  1.0              31515.0              11118.0
SOLVER 56                           100.0                 64.0                  1.0              31515.0              11080.0
SOLVER 57                           100.0                 64.0                  1.0              31515.0              11137.0
SOLVER 58                           100.0                 64.0                  1.0              31515.0              11102.0
SOLVER 59                           100.0                 64.0                  1.0              31515.0              11132.0
SOLVER 60                           100.0                 64.0                  1.0              31515.0              11081.0
SOLVER 61                           100.0                 64.0                  1.0              31515.0              11075.0
SOLVER 62                           100.0                 64.0                  1.0              31531.0              11097.0
SOLVER 63                           100.0                 64.0                  1.0              31515.0              11093.0
SOLVER 64                           100.0                 64.0                  1.0              31531.0              11174.0
SOLVER 65                           100.0                 64.0                  1.0              31515.0              11159.0
SOLVER 66                           100.0                 64.0                  1.0              31515.0              11113.0
SOLVER 67                           100.0                 64.0                  1.0              31515.0              11174.0
SOLVER 68                           100.0                 64.0                  1.0              31515.0              11205.0
SOLVER 69                           100.0                 64.0                  1.0              31515.0              11181.0
SOLVER 70                           100.0                 64.0                  1.0              31515.0              11148.0
SOLVER 71                           100.0                 64.0                  1.0              31531.0              11132.0
SOLVER 72                           100.0                 64.0                  1.0              31531.0              11133.0
SOLVER 73                           100.0                 64.0                  1.0              31531.0              11147.0
SOLVER 74                           100.0                 64.0                  1.0              31531.0              11136.0
SOLVER 75                           100.0                 64.0                  1.0              31531.0              11177.0
SOLVER 76                           100.0                 64.0                  1.0              31531.0              11025.0
SOLVER 77                           100.0                 64.0                  1.0              31531.0              11128.0
SOLVER 78                           100.0                 64.0                  1.0              31546.0              11111.0
SOLVER 79                           100.0                 64.0                  1.0              31515.0              11090.0
SOLVER 80                           100.0                 64.0                  1.0              31530.0              11101.0
SOLVER 81                           100.0                 64.0                  1.0              31530.0              11127.0
SOLVER 82                           100.0                 64.0                  1.0              31530.0              11058.0
SOLVER 83                           100.0                 64.0                  1.0              31530.0              11119.0
SOLVER 84                           100.0                 64.0                  1.0              31530.0              11109.0
SOLVER 85                           100.0                 64.0                  1.0              31530.0              11109.0
SOLVER 86                           100.0                 64.0                  1.0              31530.0              11117.0
SOLVER 87                           100.0                 64.0                  1.0              31530.0              11052.0
SOLVER 88                           100.0                 64.0                  1.0              31546.0              11171.0
SOLVER 89                           100.0                 64.0                  1.0              31546.0              11084.0
SOLVER 90                           100.0                 64.0                  1.0              31546.0              11050.0
SOLVER 91                           100.0                 64.0                  1.0              31546.0              11109.0
SOLVER 92                           100.0                 64.0                  1.0              31546.0              11111.0
SOLVER 93                           100.0                 64.0                  1.0              31546.0              11077.0
SOLVER 94                           100.0                 64.0                  1.0              31531.0              11161.0
SOLVER 95                           100.0                 64.0                  1.0              31546.0              11153.0
SOLVER 96                           100.0                 64.0                  1.0              31546.0              11200.0
SOLVER 97                           100.0                 64.0                  1.0              31546.0              11092.0
SOLVER 98                           100.0                 64.0                  1.0              31546.0              11172.0
SOLVER 99                           100.0                 64.0                  1.0              31546.0              11047.0


HALL OF FAME
                 128 = 11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	(OneMax) OPTIMUM 
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Evolution Statistics in generations
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::


                    ____________________________________________________________________Generation_____________________________________________________________________ 		____________________________________________________________________Individuals____________________________________________________________________ 		____________________________________________________________________SucessRate_____________________________________________________________________ 		_______________________________________________________________________Time________________________________________________________________________ 		___________________________________________________________________FunctionCalls___________________________________________________________________ 		
                                    MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		
STATISTIC 0                            1                    0                    1                    1                    1                    1                    1  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		                   0                    0                    0                    0                    0                    0                    0  		              111.69    4.260921795275467                   97                  111                  124                  108                  115  		
STATISTIC 1                            2                    0                    2                    2                    2                    2                    2  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		             1347.36     287.833513888101                  172                 1453                 2078                 1360                 1484  		              223.44    5.626991230047095                  208                  224                  248                  220                  227  		
STATISTIC 2                            3                    0                    3                    3                    3                    3                    3  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		              1974.8    330.0458186740781                 1031                 2172                 2453                 1718                 2172  		              335.36    7.384832941627627                  316                  336                  359                  330                  340  		
STATISTIC 3                            4                    0                    4                    4                    4                    4                    4  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		             2419.26   261.60991934364796                 1593                 2499                 3046                 2328                 2515  		              446.75    8.233186110817217                  426                  446                  469                  442                  453  		
STATISTIC 4                            5                    0                    5                    5                    5                    5                    5  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		              2876.6   258.52116338743315                 2172                 2937                 3500                 2812                 2984  		               557.3     9.21735298009119                  539                  558                  581                  550                  563  		
STATISTIC 5                            6                    0                    6                    6                    6                    6                    6  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		             3175.92   279.35194412580853                 2382                 3179                 3789                 3023                 3351  		              668.42   10.705591855179748                  643                  669                  696                  660                  676  		
STATISTIC 6                            7                    0                    7                    7                    7                    7                    7  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		             3552.26    271.1345642281559                 2710                 3600                 4163                 3413                 3694  		              779.84   11.201298626010594                  756                  780                  808                  771                  789  		
