#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Configuration
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
solver name          = TournamentReplacement
random seed          = 123
number of runs       = 10

solver type         = GA
stop criteria       = MaxEvaluations 50000.0

problem name        = bits.nkLandscapes.NKSeq 128 3 128
population type     = MultiPopulation 64

selection           = MTournamentSelection 2.0 2
recombination       = Uniform 0.75 0.5
mutation            = FlipBit -1.0
replacement         = TournamentReplacement
rescaling           = AdaptiveCeiling 1.5

statistic           = BestFitness
statistic           = Generation
statistic           = Individuals
statistic           = SucessRate
statistic           = Time
statistic           = FunctionCalls

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Evolution 
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
Result                        BestFitness           Generation          Individuals           SucessRate                 Time        FunctionCalls
MEAN                   127.89023556300442                535.1                126.8                  0.9              34862.2              50040.1
STD                   0.34710562699151776   4.2282121254458644    3.521363372331894    0.316227766016838   202.02024101020214    32.66139413491422
MIN                    126.90235563004426                  529                  121                    0                34522                50002
MEDIAN                                128                  536                  126                    1                34895                50027
MAX                                   128                  540                  132                    1                35137                50094

SOLVER 0                            128.0                533.0                131.0                  1.0              34895.0              50020.0
SOLVER 1                            128.0                540.0                124.0                  1.0              35137.0              50022.0
SOLVER 2                            128.0                536.0                125.0                  1.0              34971.0              50009.0
SOLVER 3                            128.0                539.0                126.0                  1.0              35087.0              50088.0
SOLVER 4                            128.0                530.0                125.0                  1.0              34640.0              50021.0
SOLVER 5                            128.0                532.0                127.0                  1.0              34696.0              50094.0
SOLVER 6               126.90235563004426                529.0                121.0                  0.0              34522.0              50059.0
SOLVER 7                            128.0                540.0                132.0                  1.0              35033.0              50059.0
SOLVER 8                            128.0                539.0                131.0                  1.0              34859.0              50002.0
SOLVER 9                            128.0                533.0                126.0                  1.0              34782.0              50027.0


HALL OF FAME
[ 9]             128 = 01111100000110001110010110100001000000111001001011100010001011100011011011010110100101011000011111101101000101101110010001001111	(NKSeq) OPTIMUM 
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Evolution Statistics in generations
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::


                    ____________________________________________________________________BestFitness____________________________________________________________________ 		____________________________________________________________________Generation_____________________________________________________________________ 		____________________________________________________________________Individuals____________________________________________________________________ 		____________________________________________________________________SucessRate_____________________________________________________________________ 		_______________________________________________________________________Time________________________________________________________________________ 		___________________________________________________________________FunctionCalls___________________________________________________________________ 		
                                    MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		
STATISTIC 0            83.08703683995248   1.6673189458332909    80.97252658947397    83.32945482473552    85.45938804933468    81.37238455937677    84.86461005684566  		                   1                    0                    1                    1                    1                    1                    1  		                66.8   1.1352924243950222                   65                   67                   69                   66                   67  		                   0                    0                    0                    0                    0                    0                    0  		                   0                    0                    0                    0                    0                    0                    0  		               113.6    1.897366596100857                  111                  114                  117                  113                  114  		
STATISTIC 1            84.41167283411224   1.9005670182087895    81.27875697892166    85.45938804933468    87.36149003747272     82.9889266127443    85.81101912780892  		                   2                    0                    2                    2                    2                    2                    2  		                69.2   1.9888578520234659                   65                   70                   72                   69                   70  		                   0                    0                    0                    0                    0                    0                    0  		                 417    85.39841268366109                  218                  437                  520                  377                  471  		               224.8   3.7653389990511066                  217                  225                  230                  223                  227  		
STATISTIC 2             87.8567763873915     2.33062899047125    84.07900894339818    88.47702472500022    92.02735309810181    86.12387397035297    89.47109116992443  		                   4                    0                    4                    4                    4                    4                    4  		                70.9   2.6436506745198107                   67                   71                   77                   70                   71  		                   0                    0                    0                    0                    0                    0                    0  		               640.8     79.7312151335139                  453                  656                  739                  612                  690  		               445.2   6.9729636613302795                  428                  448                  452                  443                  450  		
STATISTIC 3            90.00243127446572   1.4233011992429185    86.85716044080158     90.0302269194948     92.3646190571168     89.5688337189429     90.6942528253347  		                   6                    0                    6                    6                    6                    6                    6  		                71.2    4.049691346263297                   68                   71                   82                   69                   72  		                   0                    0                    0                    0                    0                    0                    0  		              1099.8    76.28280714988553                  915                 1118                 1186                 1074                 1152  		               663.3    8.807194029123309                  651                  663                  674                  656                  671  		
STATISTIC 4            92.88622553623341   2.3578675259149473    89.31480614652403     93.3100657430121    97.22795736916524    90.88738164417569     94.0236866685153  		                   8                    0                    8                    8                    8                    8                    8  		                71.4   3.7475918193480737                   66                   71                   79                   69                   74  		                   0                    0                    0                    0                    0                    0                    0  		              1519.8    79.73121513351488                 1332                 1535                 1618                 1491                 1569  		               882.4   11.992590304945116                  864                  887                  898                  869                  892  		
STATISTIC 5            94.65059146320304   1.9539940286162083    92.11041747457179    94.63500684488407    98.41091180313754    93.35476272125992    95.54451934757098  		                  10                    0                   10                   10                   10                   10                   10  		                69.5    2.592724864350674                   66                   69                   73                   67                   72  		                   0                    0                    0                    0                    0                    0                    0  		              1883.6    80.18478658698191                 1691                 1894                 1977                 1854                 1935  		              1105.3   15.769520531003357                 1080                 1112                 1125                 1094                 1120  		
STATISTIC 6            95.61948442196334   2.5831963581415596    93.03518009842301    94.63500684488407   101.20143300707389    94.12429266458625    95.61942048730131  		                  11                    0                   11                   11                   11                   11                   11  		                69.6   2.8751811537130716                   64                   70                   74                   68                   72  		                   0                    0                    0                    0                    0                    0                    0  		              1988.4   135.23740442479436                 1738                 2001                 2185                 1901                 2099  		                1215   16.845705024657704                 1188                 1221                 1234                 1202                 1229  		
STATISTIC 7            98.37261434448897   2.9206269006371746    95.39964552234476    98.62176334150352    103.2952971687889    95.73830810283636   100.05574934807602  		                  13                    0                   13                   13                   13                   13                   13  		                70.9   2.3781411975649633                   67                   71                   74                   70                   73  		                   0                    0                    0                    0                    0                    0                    0  		              2268.5    45.87482969995638                 2198                 2276                 2343                 2232                 2301  		              1434.5    17.72788136743299                 1406                 1443                 1456                 1418                 1446  		
STATISTIC 8           100.44585634159158    2.682502878087387     95.8418287207652    99.93099881980555   104.92615531960985     99.3763817231439   102.01325932211915  		                  15                    0                   15                   15                   15                   15                   15  		                70.5   1.6499158227686108                   68                   71                   72                   69                   72  		                   0                    0                    0                    0                    0                    0                    0  		              2555.3    77.79610101626879                 2369                 2572                 2640                 2528                 2606  		                1657   20.336065390226192                 1628                 1663                 1684                 1634                 1671  		
