AVG                            Generation          Individuals           SucessRate                 Time        FunctionCalls
MuGA-64                               100               120.33                    1             31843.31              9973.98
SGA-64                                100                   64                    1             31380.53             11113.95
SGA-128                               100                  128                    1             31175.44             11114.41

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
STD                            Generation          Individuals           SucessRate                 Time        FunctionCalls
MuGA-64                                 0   4.4586880346016615                    0   162.16948952662818    93.00895796974082
SGA-64                                  0                    0                    0    282.0986092726661    40.70821896016935
SGA-128                                 0                    0                    0   143.82419964677098    43.47647570122645

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
                                   GENERATION                                    
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
Generation                        MuGA-64               SGA-64              SGA-128 
                Mean                  100                  100                  100 
                 Std                    0                    0                    0 
             Minimum                  100                  100                  100 
              Median                  100                  100                  100 
             Maximum                  100                  100                  100 

            Solver 0                  100                  100                  100 
            Solver 1                  100                  100                  100 
            Solver 2                  100                  100                  100 
            Solver 3                  100                  100                  100 
            Solver 4                  100                  100                  100 
            Solver 5                  100                  100                  100 
            Solver 6                  100                  100                  100 
            Solver 7                  100                  100                  100 
            Solver 8                  100                  100                  100 
            Solver 9                  100                  100                  100 
           Solver 10                  100                  100                  100 
           Solver 11                  100                  100                  100 
           Solver 12                  100                  100                  100 
           Solver 13                  100                  100                  100 
           Solver 14                  100                  100                  100 
           Solver 15                  100                  100                  100 
           Solver 16                  100                  100                  100 
           Solver 17                  100                  100                  100 
           Solver 18                  100                  100                  100 
           Solver 19                  100                  100                  100 
           Solver 20                  100                  100                  100 
           Solver 21                  100                  100                  100 
           Solver 22                  100                  100                  100 
           Solver 23                  100                  100                  100 
           Solver 24                  100                  100                  100 
           Solver 25                  100                  100                  100 
           Solver 26                  100                  100                  100 
           Solver 27                  100                  100                  100 
           Solver 28                  100                  100                  100 
           Solver 29                  100                  100                  100 
           Solver 30                  100                  100                  100 
           Solver 31                  100                  100                  100 
           Solver 32                  100                  100                  100 
           Solver 33                  100                  100                  100 
           Solver 34                  100                  100                  100 
           Solver 35                  100                  100                  100 
           Solver 36                  100                  100                  100 
           Solver 37                  100                  100                  100 
           Solver 38                  100                  100                  100 
           Solver 39                  100                  100                  100 
           Solver 40                  100                  100                  100 
           Solver 41                  100                  100                  100 
           Solver 42                  100                  100                  100 
           Solver 43                  100                  100                  100 
           Solver 44                  100                  100                  100 
           Solver 45                  100                  100                  100 
           Solver 46                  100                  100                  100 
           Solver 47                  100                  100                  100 
           Solver 48                  100                  100                  100 
           Solver 49                  100                  100                  100 
           Solver 50                  100                  100                  100 
           Solver 51                  100                  100                  100 
           Solver 52                  100                  100                  100 
           Solver 53                  100                  100                  100 
           Solver 54                  100                  100                  100 
