Statistic ; BestFitness ; Generation ; GeneticDiversity ; Individuals ; SelectedGenotypes ; SelectedIndividuals ; SucessRate ; Time ; FunctionCalls
0 ; 8,000000 ; 0,000000 ; 0,988797 ; 64,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 
1 ; 16,000000 ; 3,000000 ; 0,951648 ; 68,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 691,000000 ; 333,000000 ; 
2 ; 16,000000 ; 6,000000 ; 0,877491 ; 66,000000 ; 49,000000 ; 128,000000 ; 0,000000 ; 1300,000000 ; 672,000000 ; 
3 ; 24,000000 ; 10,000000 ; 0,560482 ; 68,000000 ; 45,000000 ; 128,000000 ; 0,000000 ; 2271,000000 ; 1110,000000 ; 
4 ; 24,000000 ; 13,000000 ; 0,472919 ; 67,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 2673,000000 ; 1450,000000 ; 
5 ; 32,000000 ; 16,000000 ; 0,511219 ; 75,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 2982,000000 ; 1765,000000 ; 
6 ; 32,000000 ; 20,000000 ; 0,513986 ; 71,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 3468,000000 ; 2202,000000 ; 
7 ; 40,000000 ; 23,000000 ; 0,461628 ; 75,000000 ; 47,000000 ; 128,000000 ; 0,000000 ; 3875,000000 ; 2530,000000 ; 
8 ; 40,000000 ; 26,000000 ; 0,384713 ; 68,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 4101,000000 ; 2875,000000 ; 
9 ; 40,000000 ; 30,000000 ; 0,377459 ; 66,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 4443,000000 ; 3318,000000 ; 
10 ; 48,000000 ; 33,000000 ; 0,413363 ; 65,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 4655,000000 ; 3630,000000 ; 
11 ; 48,000000 ; 36,000000 ; 0,383400 ; 75,000000 ; 48,000000 ; 128,000000 ; 0,000000 ; 4827,000000 ; 3953,000000 ; 
12 ; 48,000000 ; 40,000000 ; 0,320199 ; 67,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 5079,000000 ; 4403,000000 ; 
