Best Fitness

Generation ; MEAN ; STD ; MIN ; MEDIAN ; MAX ; Q1 ; Q3 ; 
0  ;  10,080000  ;  3,705524  ;  8,000000  ;  8,000000  ;  24,000000  ;  8,000000  ;  16,000000  ; 
1  ;  11,760000  ;  4,170895  ;  8,000000  ;  8,000000  ;  24,000000  ;  8,000000  ;  16,000000  ; 
2  ;  15,600000  ;  4,739688  ;  8,000000  ;  16,000000  ;  24,000000  ;  16,000000  ;  16,000000  ; 
3  ;  19,840000  ;  4,616002  ;  8,000000  ;  16,000000  ;  32,000000  ;  16,000000  ;  24,000000  ; 
4  ;  22,240000  ;  5,971515  ;  8,000000  ;  24,000000  ;  40,000000  ;  16,000000  ;  24,000000  ; 
5  ;  26,000000  ;  6,469821  ;  8,000000  ;  24,000000  ;  40,000000  ;  24,000000  ;  32,000000  ; 
6  ;  28,720000  ;  6,831419  ;  16,000000  ;  32,000000  ;  40,000000  ;  24,000000  ;  32,000000  ; 
7  ;  31,120000  ;  7,618797  ;  16,000000  ;  32,000000  ;  48,000000  ;  24,000000  ;  40,000000  ; 
8  ;  33,520000  ;  7,686378  ;  16,000000  ;  32,000000  ;  48,000000  ;  32,000000  ;  40,000000  ; 
9  ;  35,440000  ;  8,060779  ;  16,000000  ;  40,000000  ;  56,000000  ;  32,000000  ;  40,000000  ; 
10  ;  37,520000  ;  8,015742  ;  16,000000  ;  40,000000  ;  56,000000  ;  32,000000  ;  40,000000  ; 
11  ;  39,520000  ;  8,025817  ;  24,000000  ;  40,000000  ;  56,000000  ;  32,000000  ;  48,000000  ; 
12  ;  41,040000  ;  8,482805  ;  24,000000  ;  40,000000  ;  56,000000  ;  32,000000  ;  48,000000  ; 
13  ;  41,760000  ;  8,850178  ;  24,000000  ;  40,000000  ;  64,000000  ;  32,000000  ;  48,000000  ; 
14  ;  44,080000  ;  9,272181  ;  24,000000  ;  48,000000  ;  72,000000  ;  40,000000  ;  48,000000  ; 
15  ;  45,440000  ;  9,904922  ;  24,000000  ;  48,000000  ;  72,000000  ;  40,000000  ;  56,000000  ; 
16  ;  46,320000  ;  9,800928  ;  24,000000  ;  48,000000  ;  72,000000  ;  40,000000  ;  56,000000  ; 
17  ;  47,280000  ;  10,489129  ;  24,000000  ;  48,000000  ;  72,000000  ;  40,000000  ;  56,000000  ; 
18  ;  48,800000  ;  10,575367  ;  24,000000  ;  48,000000  ;  72,000000  ;  40,000000  ;  56,000000  ; 
19  ;  49,760000  ;  10,457340  ;  24,000000  ;  48,000000  ;  72,000000  ;  48,000000  ;  56,000000  ; 
20  ;  51,120000  ;  10,226999  ;  24,000000  ;  48,000000  ;  72,000000  ;  48,000000  ;  56,000000  ; 
21  ;  51,920000  ;  10,009773  ;  32,000000  ;  56,000000  ;  72,000000  ;  48,000000  ;  56,000000  ; 
22  ;  53,120000  ;  10,011387  ;  32,000000  ;  56,000000  ;  72,000000  ;  48,000000  ;  56,000000  ; 
23  ;  53,680000  ;  10,315116  ;  32,000000  ;  56,000000  ;  80,000000  ;  48,000000  ;  64,000000  ; 
24  ;  54,640000  ;  10,300064  ;  32,000000  ;  56,000000  ;  80,000000  ;  48,000000  ;  64,000000  ; 
25  ;  56,080000  ;  10,138117  ;  32,000000  ;  56,000000  ;  80,000000  ;  48,000000  ;  64,000000  ; 
26  ;  56,640000  ;  10,463520  ;  32,000000  ;  56,000000  ;  80,000000  ;  48,000000  ;  64,000000  ; 
27  ;  57,760000  ;  10,395337  ;  32,000000  ;  56,000000  ;  80,000000  ;  48,000000  ;  64,000000  ; 
28  ;  58,480000  ;  11,006408  ;  32,000000  ;  56,000000  ;  80,000000  ;  48,000000  ;  64,000000  ; 
29  ;  59,120000  ;  10,959319  ;  32,000000  ;  56,000000  ;  80,000000  ;  56,000000  ;  64,000000  ; 
30  ;  60,240000  ;  11,339677  ;  32,000000  ;  56,000000  ;  80,000000  ;  56,000000  ;  72,000000  ; 
31  ;  60,960000  ;  10,833841  ;  40,000000  ;  56,000000  ;  80,000000  ;  56,000000  ;  72,000000  ; 
32  ;  62,080000  ;  10,972583  ;  40,000000  ;  64,000000  ;  88,000000  ;  56,000000  ;  72,000000  ; 
33  ;  62,960000  ;  10,400000  ;  40,000000  ;  64,000000  ;  88,000000  ;  56,000000  ;  72,000000  ; 
34  ;  63,920000  ;  10,816822  ;  40,000000  ;  64,000000  ;  88,000000  ;  56,000000  ;  72,000000  ; 
35  ;  64,640000  ;  10,827873  ;  40,000000  ;  64,000000  ;  88,000000  ;  56,000000  ;  72,000000  ; 
36  ;  65,120000  ;  10,848153  ;  40,000000  ;  64,000000  ;  88,000000  ;  56,000000  ;  72,000000  ; 
37  ;  66,320000  ;  10,439707  ;  48,000000  ;  64,000000  ;  88,000000  ;  56,000000  ;  72,000000  ; 
38  ;  66,960000  ;  10,211817  ;  48,000000  ;  64,000000  ;  88,000000  ;  64,000000  ;  72,000000  ; 
39  ;  67,680000  ;  10,812339  ;  48,000000  ;  64,000000  ;  96,000000  ;  64,000000  ;  72,000000  ; 
40  ;  68,640000  ;  10,555787  ;  48,000000  ;  64,000000  ;  96,000000  ;  64,000000  ;  72,000000  ; 
41  ;  69,040000  ;  10,461975  ;  48,000000  ;  72,000000  ;  96,000000  ;  64,000000  ;  72,000000  ; 
42  ;  69,520000  ;  10,402486  ;  48,000000  ;  72,000000  ;  96,000000  ;  64,000000  ;  72,000000  ; 
43  ;  70,240000  ;  11,058266  ;  48,000000  ;  72,000000  ;  96,000000  ;  64,000000  ;  80,000000  ; 
44  ;  70,800000  ;  11,046275  ;  48,000000  ;  72,000000  ;  96,000000  ;  64,000000  ;  80,000000  ; 
45  ;  71,120000  ;  11,192783  ;  48,000000  ;  72,000000  ;  96,000000  ;  64,000000  ;  80,000000  ; 
46  ;  71,680000  ;  10,901654  ;  48,000000  ;  72,000000  ;  96,000000  ;  64,000000  ;  80,000000  ; 
47  ;  72,320000  ;  10,901654  ;  48,000000  ;  72,000000  ;  96,000000  ;  64,000000  ;  80,000000  ; 
48  ;  73,040000  ;  10,645737  ;  48,000000  ;  72,000000  ;  96,000000  ;  64,000000  ;  80,000000  ; 
49  ;  73,120000  ;  10,545984  ;  48,000000  ;  72,000000  ;  96,000000  ;  64,000000  ;  80,000000  ; 
50  ;  73,600000  ;  10,727102  ;  48,000000  ;  72,000000  ;  96,000000  ;  64,000000  ;  80,000000  ; 
51  ;  74,160000  ;  10,897799  ;  48,000000  ;  72,000000  ;  96,000000  ;  64,000000  ;  80,000000  ; 
52  ;  74,640000  ;  10,850239  ;  48,000000  ;  72,000000  ;  96,000000  ;  64,000000  ;  80,000000  ; 
53  ;  74,960000  ;  10,274928  ;  48,000000  ;  72,000000  ;  96,000000  ;  72,000000  ;  80,000000  ; 
54  ;  76,080000  ;  11,111628  ;  48,000000  ;  72,000000  ;  96,000000  ;  72,000000  ;  80,000000  ; 
55  ;  76,400000  ;  11,162708  ;  48,000000  ;  80,000000  ;  96,000000  ;  72,000000  ;  80,000000  ; 
56  ;  76,480000  ;  11,669246  ;  48,000000  ;  80,000000  ;  104,000000  ;  72,000000  ;  80,000000  ; 
57  ;  76,640000  ;  11,323989  ;  48,000000  ;  80,000000  ;  96,000000  ;  72,000000  ;  88,000000  ; 
58  ;  77,360000  ;  11,202020  ;  48,000000  ;  80,000000  ;  96,000000  ;  72,000000  ;  88,000000  ; 
59  ;  77,920000  ;  11,176888  ;  48,000000  ;  80,000000  ;  96,000000  ;  72,000000  ;  88,000000  ; 
