Function Calls - simulation
;MEAN ;STD ;MIN ;MEDIAN ;MAX ;Q1 ;Q3 ;
MuGA-64;9973,980000 ; 93,008958 ; 9764,000000 ; 9977,000000 ; 10189,000000 ; 9923,000000 ; 10040,000000 ; 
SGA-64;11113,950000 ; 40,708219 ; 10981,000000 ; 11114,000000 ; 11205,000000 ; 11091,000000 ; 11142,000000 ; 
SGA-128;11114,410000 ; 43,476476 ; 11009,000000 ; 11112,000000 ; 11249,000000 ; 11080,000000 ; 11145,000000 ; 

Comparison of means - confidence 95% 

 ; MuGA-64; SGA-64; SGA-128; Score ; Rank
MuGA-64; .; +; +; 2;1
SGA-64; -; .; .; -1;2
SGA-128; -; .; .; -1;2

DATA
FunctionCalls ; MuGA-64 ; SGA-64 ; SGA-128
Solver 0 ; 10015,000000 ; 11123,000000 ; 11104,000000
Solver 1 ; 9818,000000 ; 11035,000000 ; 11084,000000
Solver 2 ; 9963,000000 ; 11072,000000 ; 11053,000000
Solver 3 ; 10060,000000 ; 11198,000000 ; 11081,000000
Solver 4 ; 9949,000000 ; 11104,000000 ; 11036,000000
Solver 5 ; 9997,000000 ; 11126,000000 ; 11079,000000
Solver 6 ; 9953,000000 ; 11055,000000 ; 11089,000000
Solver 7 ; 10040,000000 ; 11147,000000 ; 11139,000000
Solver 8 ; 9996,000000 ; 11142,000000 ; 11070,000000
Solver 9 ; 9922,000000 ; 11149,000000 ; 11155,000000
Solver 10 ; 9977,000000 ; 11067,000000 ; 11162,000000
Solver 11 ; 9988,000000 ; 11133,000000 ; 11040,000000
Solver 12 ; 9960,000000 ; 11107,000000 ; 11080,000000
Solver 13 ; 9992,000000 ; 11124,000000 ; 11083,000000
Solver 14 ; 9899,000000 ; 11116,000000 ; 11145,000000
Solver 15 ; 9861,000000 ; 11142,000000 ; 11249,000000
Solver 16 ; 9867,000000 ; 11099,000000 ; 11127,000000
Solver 17 ; 10065,000000 ; 11116,000000 ; 11135,000000
Solver 18 ; 10070,000000 ; 11099,000000 ; 11077,000000
Solver 19 ; 9924,000000 ; 11054,000000 ; 11132,000000
Solver 20 ; 9987,000000 ; 11084,000000 ; 11110,000000
Solver 21 ; 10189,000000 ; 11114,000000 ; 11104,000000
Solver 22 ; 9870,000000 ; 10981,000000 ; 11104,000000
Solver 23 ; 9986,000000 ; 11141,000000 ; 11049,000000
Solver 24 ; 9988,000000 ; 11170,000000 ; 11061,000000
Solver 25 ; 10034,000000 ; 11088,000000 ; 11070,000000
Solver 26 ; 10080,000000 ; 11098,000000 ; 11140,000000
Solver 27 ; 10040,000000 ; 11072,000000 ; 11175,000000
Solver 28 ; 10050,000000 ; 11059,000000 ; 11147,000000
Solver 29 ; 10141,000000 ; 11036,000000 ; 11184,000000
Solver 30 ; 9968,000000 ; 11135,000000 ; 11131,000000
Solver 31 ; 10022,000000 ; 11126,000000 ; 11124,000000
Solver 32 ; 9979,000000 ; 11108,000000 ; 11143,000000
Solver 33 ; 9923,000000 ; 11158,000000 ; 11155,000000
Solver 34 ; 9825,000000 ; 11109,000000 ; 11038,000000
Solver 35 ; 10070,000000 ; 11154,000000 ; 11110,000000
Solver 36 ; 10064,000000 ; 11091,000000 ; 11128,000000
Solver 37 ; 10026,000000 ; 11102,000000 ; 11113,000000
Solver 38 ; 9895,000000 ; 11117,000000 ; 11157,000000
Solver 39 ; 10071,000000 ; 11147,000000 ; 11153,000000
Solver 40 ; 9928,000000 ; 11089,000000 ; 11087,000000
Solver 41 ; 10163,000000 ; 11131,000000 ; 11178,000000
Solver 42 ; 10007,000000 ; 11112,000000 ; 11098,000000
Solver 43 ; 10073,000000 ; 11157,000000 ; 11173,000000
Solver 44 ; 10076,000000 ; 11180,000000 ; 11108,000000
Solver 45 ; 10014,000000 ; 11099,000000 ; 11066,000000
Solver 46 ; 10008,000000 ; 11119,000000 ; 11105,000000
Solver 47 ; 9773,000000 ; 11103,000000 ; 11077,000000
Solver 48 ; 9764,000000 ; 11149,000000 ; 11133,000000
Solver 49 ; 9935,000000 ; 11050,000000 ; 11059,000000
Solver 50 ; 9965,000000 ; 11131,000000 ; 11078,000000
Solver 51 ; 9933,000000 ; 11121,000000 ; 11142,000000
Solver 52 ; 9905,000000 ; 11088,000000 ; 11139,000000
Solver 53 ; 9981,000000 ; 11104,000000 ; 11170,000000
Solver 54 ; 10030,000000 ; 11097,000000 ; 11081,000000
Solver 55 ; 9836,000000 ; 11118,000000 ; 11066,000000
Solver 56 ; 9833,000000 ; 11080,000000 ; 11141,000000
Solver 57 ; 10026,000000 ; 11137,000000 ; 11141,000000
Solver 58 ; 10012,000000 ; 11102,000000 ; 11107,000000
Solver 59 ; 9822,000000 ; 11132,000000 ; 11132,000000
Solver 60 ; 9862,000000 ; 11081,000000 ; 11096,000000
Solver 61 ; 9954,000000 ; 11075,000000 ; 11174,000000
Solver 62 ; 9784,000000 ; 11097,000000 ; 11103,000000
Solver 63 ; 9998,000000 ; 11093,000000 ; 11192,000000
Solver 64 ; 10181,000000 ; 11174,000000 ; 11063,000000
Solver 65 ; 9955,000000 ; 11159,000000 ; 11094,000000
Solver 66 ; 9885,000000 ; 11113,000000 ; 11194,000000
Solver 67 ; 9966,000000 ; 11174,000000 ; 11108,000000
Solver 68 ; 10060,000000 ; 11205,000000 ; 11191,000000
Solver 69 ; 9975,000000 ; 11181,000000 ; 11157,000000
Solver 70 ; 9963,000000 ; 11148,000000 ; 11036,000000
Solver 71 ; 9941,000000 ; 11132,000000 ; 11143,000000
Solver 72 ; 10141,000000 ; 11133,000000 ; 11145,000000
Solver 73 ; 9978,000000 ; 11147,000000 ; 11096,000000
Solver 74 ; 9916,000000 ; 11136,000000 ; 11068,000000
Solver 75 ; 9843,000000 ; 11177,000000 ; 11129,000000
Solver 76 ; 9960,000000 ; 11025,000000 ; 11110,000000
Solver 77 ; 9802,000000 ; 11128,000000 ; 11082,000000
Solver 78 ; 9768,000000 ; 11111,000000 ; 11158,000000
Solver 79 ; 9928,000000 ; 11090,000000 ; 11059,000000
Solver 80 ; 9939,000000 ; 11101,000000 ; 11071,000000
Solver 81 ; 9872,000000 ; 11127,000000 ; 11126,000000
Solver 82 ; 10124,000000 ; 11058,000000 ; 11066,000000
Solver 83 ; 10054,000000 ; 11119,000000 ; 11158,000000
Solver 84 ; 10075,000000 ; 11109,000000 ; 11118,000000
Solver 85 ; 9959,000000 ; 11109,000000 ; 11173,000000
Solver 86 ; 9908,000000 ; 11117,000000 ; 11009,000000
Solver 87 ; 10068,000000 ; 11052,000000 ; 11171,000000
Solver 88 ; 10108,000000 ; 11171,000000 ; 11133,000000
Solver 89 ; 9887,000000 ; 11084,000000 ; 11057,000000
Solver 90 ; 9951,000000 ; 11050,000000 ; 11108,000000
Solver 91 ; 10078,000000 ; 11109,000000 ; 11147,000000
Solver 92 ; 9942,000000 ; 11111,000000 ; 11147,000000
Solver 93 ; 10017,000000 ; 11077,000000 ; 11112,000000
Solver 94 ; 10009,000000 ; 11161,000000 ; 11080,000000
Solver 95 ; 9956,000000 ; 11153,000000 ; 11140,000000
Solver 96 ; 10092,000000 ; 11200,000000 ; 11147,000000
Solver 97 ; 9938,000000 ; 11092,000000 ; 11098,000000
Solver 98 ; 10058,000000 ; 11172,000000 ; 11067,000000
Solver 99 ; 9895,000000 ; 11047,000000 ; 11118,000000
