Function Calls

Generation ; MEAN ; STD ; MIN ; MEDIAN ; MAX ; Q1 ; Q3 ; 
0  ;  111,180000  ;  4,372504  ;  101,000000  ;  111,000000  ;  120,000000  ;  109,000000  ;  114,000000  ; 
1  ;  443,060000  ;  9,181470  ;  414,000000  ;  443,000000  ;  462,000000  ;  437,000000  ;  449,000000  ; 
2  ;  774,290000  ;  12,762235  ;  736,000000  ;  774,000000  ;  806,000000  ;  767,000000  ;  782,000000  ; 
3  ;  1215,020000  ;  15,011766  ;  1184,000000  ;  1215,000000  ;  1260,000000  ;  1203,000000  ;  1226,000000  ; 
4  ;  1546,560000  ;  17,907913  ;  1496,000000  ;  1548,000000  ;  1583,000000  ;  1534,000000  ;  1559,000000  ; 
5  ;  1990,110000  ;  21,440496  ;  1919,000000  ;  1991,000000  ;  2035,000000  ;  1974,000000  ;  2006,000000  ; 
6  ;  2321,440000  ;  23,032836  ;  2253,000000  ;  2324,000000  ;  2360,000000  ;  2306,000000  ;  2339,000000  ; 
7  ;  2653,440000  ;  23,849833  ;  2577,000000  ;  2657,000000  ;  2694,000000  ;  2639,000000  ;  2670,000000  ; 
8  ;  3095,840000  ;  25,582396  ;  3014,000000  ;  3098,000000  ;  3153,000000  ;  3081,000000  ;  3114,000000  ; 
9  ;  3427,490000  ;  25,583887  ;  3348,000000  ;  3429,000000  ;  3485,000000  ;  3413,000000  ;  3444,000000  ; 
10  ;  3870,580000  ;  26,360431  ;  3788,000000  ;  3872,000000  ;  3933,000000  ;  3857,000000  ;  3889,000000  ; 
11  ;  4201,740000  ;  27,004534  ;  4122,000000  ;  4203,000000  ;  4262,000000  ;  4184,000000  ;  4222,000000  ; 
12  ;  4533,760000  ;  28,542763  ;  4443,000000  ;  4533,000000  ;  4596,000000  ;  4513,000000  ;  4554,000000  ; 
13  ;  4978,350000  ;  30,206821  ;  4880,000000  ;  4980,000000  ;  5048,000000  ;  4961,000000  ;  4999,000000  ; 
14  ;  5311,070000  ;  30,756540  ;  5215,000000  ;  5312,000000  ;  5380,000000  ;  5289,000000  ;  5333,000000  ; 
15  ;  5752,450000  ;  32,841639  ;  5651,000000  ;  5751,000000  ;  5835,000000  ;  5733,000000  ;  5775,000000  ; 
16  ;  6084,820000  ;  33,253049  ;  5977,000000  ;  6085,000000  ;  6175,000000  ;  6058,000000  ;  6107,000000  ; 
17  ;  6417,400000  ;  34,893489  ;  6310,000000  ;  6416,000000  ;  6515,000000  ;  6392,000000  ;  6443,000000  ; 
18  ;  6860,860000  ;  35,173170  ;  6747,000000  ;  6860,000000  ;  6968,000000  ;  6836,000000  ;  6885,000000  ; 
19  ;  7193,850000  ;  37,335870  ;  7078,000000  ;  7190,000000  ;  7296,000000  ;  7168,000000  ;  7221,000000  ; 
20  ;  7636,910000  ;  38,268877  ;  7515,000000  ;  7633,000000  ;  7727,000000  ;  7610,000000  ;  7664,000000  ; 
21  ;  7968,220000  ;  38,383124  ;  7861,000000  ;  7967,000000  ;  8057,000000  ;  7943,000000  ;  7991,000000  ; 
22  ;  8410,840000  ;  39,618310  ;  8303,000000  ;  8404,000000  ;  8498,000000  ;  8382,000000  ;  8438,000000  ; 
23  ;  8742,580000  ;  40,862712  ;  8636,000000  ;  8737,000000  ;  8837,000000  ;  8715,000000  ;  8771,000000  ; 
24  ;  9074,880000  ;  41,353680  ;  8968,000000  ;  9069,000000  ;  9176,000000  ;  9046,000000  ;  9104,000000  ; 
25  ;  9518,700000  ;  40,709739  ;  9418,000000  ;  9515,000000  ;  9612,000000  ;  9489,000000  ;  9550,000000  ; 
26  ;  9850,920000  ;  40,503318  ;  9765,000000  ;  9847,000000  ;  9935,000000  ;  9824,000000  ;  9881,000000  ; 
27  ;  10292,490000  ;  41,471298  ;  10202,000000  ;  10285,000000  ;  10394,000000  ;  10263,000000  ;  10324,000000  ; 
28  ;  10625,840000  ;  41,458442  ;  10528,000000  ;  10618,000000  ;  10723,000000  ;  10598,000000  ;  10657,000000  ; 
29  ;  10957,540000  ;  40,327553  ;  10862,000000  ;  10955,000000  ;  11054,000000  ;  10926,000000  ;  10987,000000  ; 
30  ;  11401,580000  ;  43,154685  ;  11290,000000  ;  11396,000000  ;  11504,000000  ;  11373,000000  ;  11433,000000  ; 
31  ;  11732,560000  ;  43,191685  ;  11625,000000  ;  11727,000000  ;  11843,000000  ;  11705,000000  ;  11762,000000  ; 
32  ;  12175,900000  ;  44,972157  ;  12067,000000  ;  12171,000000  ;  12297,000000  ;  12144,000000  ;  12205,000000  ; 
33  ;  12508,150000  ;  46,362946  ;  12390,000000  ;  12503,000000  ;  12621,000000  ;  12479,000000  ;  12539,000000  ; 
34  ;  12838,670000  ;  46,350674  ;  12722,000000  ;  12834,000000  ;  12955,000000  ;  12810,000000  ;  12869,000000  ; 
35  ;  13279,240000  ;  47,236803  ;  13140,000000  ;  13276,000000  ;  13392,000000  ;  13253,000000  ;  13309,000000  ; 
36  ;  13610,630000  ;  45,899463  ;  13483,000000  ;  13609,000000  ;  13719,000000  ;  13586,000000  ;  13642,000000  ; 
37  ;  14052,600000  ;  48,250190  ;  13915,000000  ;  14055,000000  ;  14178,000000  ;  14025,000000  ;  14084,000000  ; 
38  ;  14384,070000  ;  48,874660  ;  14246,000000  ;  14387,000000  ;  14511,000000  ;  14356,000000  ;  14413,000000  ; 
39  ;  14716,040000  ;  49,449887  ;  14593,000000  ;  14718,000000  ;  14855,000000  ;  14687,000000  ;  14744,000000  ; 
40  ;  15158,070000  ;  51,687143  ;  15042,000000  ;  15162,000000  ;  15293,000000  ;  15127,000000  ;  15182,000000  ; 
41  ;  15490,200000  ;  52,423297  ;  15367,000000  ;  15493,000000  ;  15633,000000  ;  15454,000000  ;  15521,000000  ; 
42  ;  15932,070000  ;  52,128872  ;  15819,000000  ;  15933,000000  ;  16072,000000  ;  15892,000000  ;  15963,000000  ; 
43  ;  16263,920000  ;  53,866029  ;  16136,000000  ;  16263,000000  ;  16405,000000  ;  16227,000000  ;  16298,000000  ; 
44  ;  16707,080000  ;  54,720351  ;  16574,000000  ;  16706,000000  ;  16852,000000  ;  16674,000000  ;  16744,000000  ; 
45  ;  17037,790000  ;  55,520912  ;  16903,000000  ;  17036,000000  ;  17192,000000  ;  17002,000000  ;  17078,000000  ; 
46  ;  17369,380000  ;  55,664540  ;  17224,000000  ;  17368,000000  ;  17521,000000  ;  17337,000000  ;  17403,000000  ; 
47  ;  17811,820000  ;  56,654434  ;  17660,000000  ;  17811,000000  ;  17974,000000  ;  17777,000000  ;  17843,000000  ; 
48  ;  18142,620000  ;  56,543142  ;  17995,000000  ;  18141,000000  ;  18301,000000  ;  18109,000000  ;  18172,000000  ; 
49  ;  18584,410000  ;  56,636194  ;  18421,000000  ;  18579,000000  ;  18741,000000  ;  18555,000000  ;  18615,000000  ; 
50  ;  18916,320000  ;  57,480938  ;  18767,000000  ;  18911,000000  ;  19075,000000  ;  18885,000000  ;  18948,000000  ; 
51  ;  19247,630000  ;  59,560453  ;  19096,000000  ;  19247,000000  ;  19410,000000  ;  19213,000000  ;  19290,000000  ; 
52  ;  19689,120000  ;  60,261430  ;  19540,000000  ;  19687,000000  ;  19849,000000  ;  19655,000000  ;  19730,000000  ; 
53  ;  20020,840000  ;  61,730879  ;  19867,000000  ;  20020,000000  ;  20185,000000  ;  19983,000000  ;  20062,000000  ; 
54  ;  20462,520000  ;  64,577333  ;  20297,000000  ;  20459,000000  ;  20634,000000  ;  20420,000000  ;  20511,000000  ; 
55  ;  20796,230000  ;  64,626957  ;  20627,000000  ;  20800,000000  ;  20963,000000  ;  20753,000000  ;  20843,000000  ; 
56  ;  21129,020000  ;  65,455202  ;  20955,000000  ;  21129,000000  ;  21291,000000  ;  21085,000000  ;  21170,000000  ; 
57  ;  21572,660000  ;  66,691392  ;  21382,000000  ;  21577,000000  ;  21733,000000  ;  21531,000000  ;  21611,000000  ; 
58  ;  21904,490000  ;  67,575098  ;  21708,000000  ;  21905,000000  ;  22050,000000  ;  21858,000000  ;  21940,000000  ; 
59  ;  22346,170000  ;  68,793066  ;  22137,000000  ;  22348,000000  ;  22498,000000  ;  22304,000000  ;  22388,000000  ; 
60  ;  22676,910000  ;  69,659503  ;  22471,000000  ;  22682,000000  ;  22839,000000  ;  22627,000000  ;  22723,000000  ; 
61  ;  23118,470000  ;  70,515197  ;  22906,000000  ;  23121,000000  ;  23277,000000  ;  23069,000000  ;  23172,000000  ; 
62  ;  23449,160000  ;  72,465348  ;  23236,000000  ;  23457,000000  ;  23613,000000  ;  23395,000000  ;  23500,000000  ; 
63  ;  23778,850000  ;  72,350909  ;  23571,000000  ;  23786,000000  ;  23938,000000  ;  23730,000000  ;  23830,000000  ; 
64  ;  24220,470000  ;  74,340393  ;  24003,000000  ;  24232,000000  ;  24377,000000  ;  24168,000000  ;  24278,000000  ; 
65  ;  24551,520000  ;  77,214836  ;  24312,000000  ;  24555,000000  ;  24720,000000  ;  24495,000000  ;  24604,000000  ; 
66  ;  24993,440000  ;  79,021199  ;  24755,000000  ;  24999,000000  ;  25162,000000  ;  24936,000000  ;  25046,000000  ; 
67  ;  25325,380000  ;  79,297265  ;  25098,000000  ;  25333,000000  ;  25494,000000  ;  25270,000000  ;  25383,000000  ; 
68  ;  25656,760000  ;  79,578958  ;  25437,000000  ;  25662,000000  ;  25824,000000  ;  25602,000000  ;  25713,000000  ; 
69  ;  26099,120000  ;  82,472191  ;  25874,000000  ;  26107,000000  ;  26277,000000  ;  26050,000000  ;  26155,000000  ; 
70  ;  26429,930000  ;  84,688527  ;  26201,000000  ;  26443,000000  ;  26615,000000  ;  26378,000000  ;  26481,000000  ; 
71  ;  26871,900000  ;  86,357432  ;  26638,000000  ;  26889,000000  ;  27056,000000  ;  26818,000000  ;  26924,000000  ; 
72  ;  27203,460000  ;  87,997293  ;  26947,000000  ;  27214,000000  ;  27393,000000  ;  27155,000000  ;  27256,000000  ; 
73  ;  27533,900000  ;  88,361916  ;  27261,000000  ;  27543,000000  ;  27719,000000  ;  27489,000000  ;  27594,000000  ; 
74  ;  27976,240000  ;  89,854666  ;  27692,000000  ;  27990,000000  ;  28169,000000  ;  27936,000000  ;  28031,000000  ; 
75  ;  28305,230000  ;  91,390035  ;  28008,000000  ;  28316,000000  ;  28503,000000  ;  28264,000000  ;  28359,000000  ; 
76  ;  28746,380000  ;  93,336881  ;  28441,000000  ;  28758,000000  ;  28952,000000  ;  28709,000000  ;  28804,000000  ; 
77  ;  29077,980000  ;  95,803353  ;  28757,000000  ;  29092,000000  ;  29294,000000  ;  29027,000000  ;  29137,000000  ; 
78  ;  29409,190000  ;  95,765781  ;  29092,000000  ;  29422,000000  ;  29613,000000  ;  29363,000000  ;  29464,000000  ; 
79  ;  29849,460000  ;  96,896531  ;  29523,000000  ;  29863,000000  ;  30058,000000  ;  29798,000000  ;  29907,000000  ; 
80  ;  30179,980000  ;  96,022407  ;  29860,000000  ;  30197,000000  ;  30392,000000  ;  30136,000000  ;  30236,000000  ; 
81  ;  30619,250000  ;  96,456760  ;  30313,000000  ;  30631,000000  ;  30857,000000  ;  30575,000000  ;  30679,000000  ; 
82  ;  30949,280000  ;  98,157272  ;  30643,000000  ;  30959,000000  ;  31184,000000  ;  30911,000000  ;  31010,000000  ; 
83  ;  31388,930000  ;  100,862268  ;  31078,000000  ;  31404,000000  ;  31617,000000  ;  31335,000000  ;  31457,000000  ; 
84  ;  31718,610000  ;  103,471842  ;  31404,000000  ;  31730,000000  ;  31951,000000  ;  31670,000000  ;  31784,000000  ; 
85  ;  32047,000000  ;  105,540073  ;  31737,000000  ;  32058,000000  ;  32284,000000  ;  32000,000000  ;  32115,000000  ; 
86  ;  32486,820000  ;  108,803537  ;  32188,000000  ;  32497,000000  ;  32736,000000  ;  32444,000000  ;  32570,000000  ; 
87  ;  32816,460000  ;  110,223961  ;  32508,000000  ;  32827,000000  ;  33083,000000  ;  32772,000000  ;  32897,000000  ; 
88  ;  33255,570000  ;  111,611814  ;  32947,000000  ;  33263,000000  ;  33520,000000  ;  33203,000000  ;  33337,000000  ; 
89  ;  33584,810000  ;  112,274348  ;  33276,000000  ;  33592,000000  ;  33854,000000  ;  33531,000000  ;  33665,000000  ; 
90  ;  33914,240000  ;  114,763448  ;  33611,000000  ;  33925,000000  ;  34197,000000  ;  33852,000000  ;  33998,000000  ; 
91  ;  34355,850000  ;  117,458385  ;  34052,000000  ;  34367,000000  ;  34660,000000  ;  34286,000000  ;  34442,000000  ; 
92  ;  34686,120000  ;  118,511755  ;  34388,000000  ;  34705,000000  ;  34984,000000  ;  34616,000000  ;  34771,000000  ; 
93  ;  35125,670000  ;  120,732198  ;  34819,000000  ;  35144,000000  ;  35416,000000  ;  35059,000000  ;  35202,000000  ; 
94  ;  35455,130000  ;  121,821832  ;  35131,000000  ;  35472,000000  ;  35750,000000  ;  35388,000000  ;  35538,000000  ; 
95  ;  35784,710000  ;  124,221316  ;  35452,000000  ;  35805,000000  ;  36072,000000  ;  35708,000000  ;  35870,000000  ; 
96  ;  36223,310000  ;  128,108516  ;  35881,000000  ;  36240,000000  ;  36493,000000  ;  36145,000000  ;  36314,000000  ; 
97  ;  36551,890000  ;  131,186266  ;  36203,000000  ;  36577,000000  ;  36810,000000  ;  36480,000000  ;  36651,000000  ; 
98  ;  36989,350000  ;  135,385225  ;  36646,000000  ;  37012,000000  ;  37225,000000  ;  36924,000000  ;  37090,000000  ; 
99  ;  37318,070000  ;  137,839407  ;  36974,000000  ;  37344,000000  ;  37554,000000  ;  37255,000000  ;  37418,000000  ; 
100  ;  37754,930000  ;  142,874901  ;  37364,000000  ;  37783,000000  ;  37995,000000  ;  37682,000000  ;  37861,000000  ; 
101  ;  38081,320000  ;  145,939788  ;  37648,000000  ;  38114,000000  ;  38314,000000  ;  38009,000000  ;  38193,000000  ; 
102  ;  38409,980000  ;  150,100571  ;  37944,000000  ;  38447,000000  ;  38669,000000  ;  38338,000000  ;  38515,000000  ; 
103  ;  38847,690000  ;  154,127240  ;  38319,000000  ;  38889,000000  ;  39113,000000  ;  38775,000000  ;  38962,000000  ; 
104  ;  39175,080000  ;  160,019423  ;  38599,000000  ;  39220,000000  ;  39451,000000  ;  39100,000000  ;  39293,000000  ; 
105  ;  39611,690000  ;  165,701307  ;  38980,000000  ;  39655,000000  ;  39892,000000  ;  39533,000000  ;  39730,000000  ; 
106  ;  39939,650000  ;  169,873772  ;  39267,000000  ;  39987,000000  ;  40220,000000  ;  39864,000000  ;  40052,000000  ; 
107  ;  40267,520000  ;  175,195272  ;  39566,000000  ;  40319,000000  ;  40559,000000  ;  40183,000000  ;  40389,000000  ; 
108  ;  40702,590000  ;  182,297852  ;  39955,000000  ;  40754,000000  ;  41004,000000  ;  40617,000000  ;  40815,000000  ; 
109  ;  41029,490000  ;  187,629470  ;  40233,000000  ;  41089,000000  ;  41339,000000  ;  40946,000000  ;  41144,000000  ; 
110  ;  41464,530000  ;  196,833286  ;  40614,000000  ;  41522,000000  ;  41777,000000  ;  41370,000000  ;  41587,000000  ; 
111  ;  41790,710000  ;  203,340601  ;  40912,000000  ;  41853,000000  ;  42111,000000  ;  41697,000000  ;  41926,000000  ; 
112  ;  42117,910000  ;  209,699453  ;  41211,000000  ;  42189,000000  ;  42442,000000  ;  42025,000000  ;  42262,000000  ; 
113  ;  42552,810000  ;  218,229779  ;  41613,000000  ;  42626,000000  ;  42892,000000  ;  42456,000000  ;  42693,000000  ; 
114  ;  42878,990000  ;  224,146034  ;  41920,000000  ;  42958,000000  ;  43219,000000  ;  42779,000000  ;  43023,000000  ; 
115  ;  43312,310000  ;  233,295828  ;  42307,000000  ;  43398,000000  ;  43677,000000  ;  43194,000000  ;  43458,000000  ; 
116  ;  43637,790000  ;  239,503750  ;  42612,000000  ;  43730,000000  ;  44011,000000  ;  43504,000000  ;  43795,000000  ; 
117  ;  43964,430000  ;  246,056586  ;  42915,000000  ;  44056,000000  ;  44337,000000  ;  43832,000000  ;  44129,000000  ; 
118  ;  44397,610000  ;  256,669575  ;  43315,000000  ;  44491,000000  ;  44785,000000  ;  44272,000000  ;  44559,000000  ; 
119  ;  44724,350000  ;  264,966145  ;  43618,000000  ;  44819,000000  ;  45111,000000  ;  44589,000000  ;  44886,000000  ; 
120  ;  45159,020000  ;  276,164202  ;  43991,000000  ;  45262,000000  ;  45543,000000  ;  45025,000000  ;  45331,000000  ; 
121  ;  45485,480000  ;  283,417509  ;  44283,000000  ;  45584,000000  ;  45869,000000  ;  45352,000000  ;  45661,000000  ; 
122  ;  45921,860000  ;  292,892369  ;  44688,000000  ;  46025,000000  ;  46321,000000  ;  45773,000000  ;  46101,000000  ; 
123  ;  46248,290000  ;  300,261546  ;  44997,000000  ;  46362,000000  ;  46654,000000  ;  46103,000000  ;  46433,000000  ; 
124  ;  46575,080000  ;  306,547990  ;  45292,000000  ;  46679,000000  ;  46981,000000  ;  46440,000000  ;  46765,000000  ; 
125  ;  47009,690000  ;  315,962141  ;  45695,000000  ;  47116,000000  ;  47432,000000  ;  46887,000000  ;  47204,000000  ; 
126  ;  47335,480000  ;  323,295327  ;  45988,000000  ;  47439,000000  ;  47757,000000  ;  47216,000000  ;  47539,000000  ; 
127  ;  47769,480000  ;  331,287494  ;  46391,000000  ;  47879,000000  ;  48202,000000  ;  47660,000000  ;  47972,000000  ; 
128  ;  48095,360000  ;  337,979395  ;  46703,000000  ;  48205,000000  ;  48538,000000  ;  47997,000000  ;  48301,000000  ; 
129  ;  48421,130000  ;  344,134888  ;  47021,000000  ;  48522,000000  ;  48877,000000  ;  48321,000000  ;  48629,000000  ; 
130  ;  48852,900000  ;  356,875626  ;  47404,000000  ;  48951,000000  ;  49297,000000  ;  48741,000000  ;  49072,000000  ; 
131  ;  49176,790000  ;  367,256393  ;  47688,000000  ;  49292,000000  ;  49619,000000  ;  49068,000000  ;  49399,000000  ; 
132  ;  49609,150000  ;  381,241734  ;  48082,000000  ;  49722,000000  ;  50047,000000  ;  49502,000000  ;  49845,000000  ; 
133  ;  49932,000000  ;  389,525560  ;  48383,000000  ;  50048,000000  ;  50376,000000  ;  49820,000000  ;  50171,000000  ; 
