Generation - simulation
;MEAN ;STD ;MIN ;MEDIAN ;MAX ;Q1 ;Q3 ;
MuGA-64;100,000000 ; 0,000000 ; 100,000000 ; 100,000000 ; 100,000000 ; 100,000000 ; 100,000000 ; 
SGA-64;100,000000 ; 0,000000 ; 100,000000 ; 100,000000 ; 100,000000 ; 100,000000 ; 100,000000 ; 
SGA-128;100,000000 ; 0,000000 ; 100,000000 ; 100,000000 ; 100,000000 ; 100,000000 ; 100,000000 ; 

Comparison of means - confidence 95% 

 ; MuGA-64; SGA-64; SGA-128; Score ; Rank
MuGA-64; .; .; .; 0;1
SGA-64; .; .; .; 0;1
SGA-128; .; .; .; 0;1

DATA
Generation ; MuGA-64 ; SGA-64 ; SGA-128
Solver 0 ; 100,000000 ; 100,000000 ; 100,000000
Solver 1 ; 100,000000 ; 100,000000 ; 100,000000
Solver 2 ; 100,000000 ; 100,000000 ; 100,000000
Solver 3 ; 100,000000 ; 100,000000 ; 100,000000
Solver 4 ; 100,000000 ; 100,000000 ; 100,000000
Solver 5 ; 100,000000 ; 100,000000 ; 100,000000
Solver 6 ; 100,000000 ; 100,000000 ; 100,000000
Solver 7 ; 100,000000 ; 100,000000 ; 100,000000
Solver 8 ; 100,000000 ; 100,000000 ; 100,000000
Solver 9 ; 100,000000 ; 100,000000 ; 100,000000
Solver 10 ; 100,000000 ; 100,000000 ; 100,000000
Solver 11 ; 100,000000 ; 100,000000 ; 100,000000
Solver 12 ; 100,000000 ; 100,000000 ; 100,000000
Solver 13 ; 100,000000 ; 100,000000 ; 100,000000
Solver 14 ; 100,000000 ; 100,000000 ; 100,000000
Solver 15 ; 100,000000 ; 100,000000 ; 100,000000
Solver 16 ; 100,000000 ; 100,000000 ; 100,000000
Solver 17 ; 100,000000 ; 100,000000 ; 100,000000
Solver 18 ; 100,000000 ; 100,000000 ; 100,000000
Solver 19 ; 100,000000 ; 100,000000 ; 100,000000
Solver 20 ; 100,000000 ; 100,000000 ; 100,000000
Solver 21 ; 100,000000 ; 100,000000 ; 100,000000
Solver 22 ; 100,000000 ; 100,000000 ; 100,000000
Solver 23 ; 100,000000 ; 100,000000 ; 100,000000
Solver 24 ; 100,000000 ; 100,000000 ; 100,000000
Solver 25 ; 100,000000 ; 100,000000 ; 100,000000
Solver 26 ; 100,000000 ; 100,000000 ; 100,000000
Solver 27 ; 100,000000 ; 100,000000 ; 100,000000
Solver 28 ; 100,000000 ; 100,000000 ; 100,000000
