Generation

Generation ; MEAN ; STD ; MIN ; MEDIAN ; MAX ; Q1 ; Q3 ; 
0  ;  1,000000  ;  0,000000  ;  1,000000  ;  1,000000  ;  1,000000  ;  1,000000  ;  1,000000  ; 
1  ;  4,000000  ;  0,000000  ;  4,000000  ;  4,000000  ;  4,000000  ;  4,000000  ;  4,000000  ; 
2  ;  7,000000  ;  0,000000  ;  7,000000  ;  7,000000  ;  7,000000  ;  7,000000  ;  7,000000  ; 
3  ;  11,000000  ;  0,000000  ;  11,000000  ;  11,000000  ;  11,000000  ;  11,000000  ;  11,000000  ; 
4  ;  14,000000  ;  0,000000  ;  14,000000  ;  14,000000  ;  14,000000  ;  14,000000  ;  14,000000  ; 
5  ;  18,000000  ;  0,000000  ;  18,000000  ;  18,000000  ;  18,000000  ;  18,000000  ;  18,000000  ; 
6  ;  21,000000  ;  0,000000  ;  21,000000  ;  21,000000  ;  21,000000  ;  21,000000  ;  21,000000  ; 
7  ;  24,000000  ;  0,000000  ;  24,000000  ;  24,000000  ;  24,000000  ;  24,000000  ;  24,000000  ; 
8  ;  28,000000  ;  0,000000  ;  28,000000  ;  28,000000  ;  28,000000  ;  28,000000  ;  28,000000  ; 
9  ;  31,000000  ;  0,000000  ;  31,000000  ;  31,000000  ;  31,000000  ;  31,000000  ;  31,000000  ; 
10  ;  35,000000  ;  0,000000  ;  35,000000  ;  35,000000  ;  35,000000  ;  35,000000  ;  35,000000  ; 
11  ;  38,000000  ;  0,000000  ;  38,000000  ;  38,000000  ;  38,000000  ;  38,000000  ;  38,000000  ; 
12  ;  41,000000  ;  0,000000  ;  41,000000  ;  41,000000  ;  41,000000  ;  41,000000  ;  41,000000  ; 
13  ;  45,000000  ;  0,000000  ;  45,000000  ;  45,000000  ;  45,000000  ;  45,000000  ;  45,000000  ; 
14  ;  48,000000  ;  0,000000  ;  48,000000  ;  48,000000  ;  48,000000  ;  48,000000  ;  48,000000  ; 
15  ;  52,000000  ;  0,000000  ;  52,000000  ;  52,000000  ;  52,000000  ;  52,000000  ;  52,000000  ; 
16  ;  55,000000  ;  0,000000  ;  55,000000  ;  55,000000  ;  55,000000  ;  55,000000  ;  55,000000  ; 
17  ;  58,000000  ;  0,000000  ;  58,000000  ;  58,000000  ;  58,000000  ;  58,000000  ;  58,000000  ; 
