Genetic diversity

Generation ; MEAN ; STD ; MIN ; MEDIAN ; MAX ; Q1 ; Q3 ; 
0  ;  0,977744  ;  0,003295  ;  0,969140  ;  0,977875  ;  0,983964  ;  0,975193  ;  0,980496  ; 
1  ;  0,915061  ;  0,036923  ;  0,714581  ;  0,924998  ;  0,955340  ;  0,905093  ;  0,939224  ; 
2  ;  0,799105  ;  0,087280  ;  0,420705  ;  0,820913  ;  0,922075  ;  0,774782  ;  0,852632  ; 
3  ;  0,652021  ;  0,143633  ;  0,177116  ;  0,697808  ;  0,833865  ;  0,584344  ;  0,763991  ; 
4  ;  0,550905  ;  0,146652  ;  0,193996  ;  0,554737  ;  0,763889  ;  0,456314  ;  0,682436  ; 
5  ;  0,479234  ;  0,108368  ;  0,211613  ;  0,476903  ;  0,695547  ;  0,401223  ;  0,577420  ; 
6  ;  0,445948  ;  0,092841  ;  0,209816  ;  0,442812  ;  0,632429  ;  0,393798  ;  0,514111  ; 
7  ;  0,415637  ;  0,084123  ;  0,240918  ;  0,411604  ;  0,637575  ;  0,360236  ;  0,466661  ; 
8  ;  0,385403  ;  0,079865  ;  0,212835  ;  0,375657  ;  0,613217  ;  0,329776  ;  0,441240  ; 
9  ;  0,367819  ;  0,077457  ;  0,192007  ;  0,358379  ;  0,589902  ;  0,310826  ;  0,427305  ; 
10  ;  0,352170  ;  0,071059  ;  0,206371  ;  0,349336  ;  0,513880  ;  0,296122  ;  0,398510  ; 
11  ;  0,347840  ;  0,070313  ;  0,196972  ;  0,344440  ;  0,524662  ;  0,294154  ;  0,389590  ; 
12  ;  0,340159  ;  0,068725  ;  0,183005  ;  0,334990  ;  0,548364  ;  0,293054  ;  0,387992  ; 
13  ;  0,331374  ;  0,061042  ;  0,174912  ;  0,328916  ;  0,534130  ;  0,288940  ;  0,371631  ; 
14  ;  0,325819  ;  0,064419  ;  0,181310  ;  0,325929  ;  0,554444  ;  0,276363  ;  0,370185  ; 
15  ;  0,327996  ;  0,072045  ;  0,170285  ;  0,330212  ;  0,562987  ;  0,276939  ;  0,378689  ; 
16  ;  0,326742  ;  0,073681  ;  0,184515  ;  0,324599  ;  0,508256  ;  0,267627  ;  0,378607  ; 
17  ;  0,318372  ;  0,076866  ;  0,187619  ;  0,318050  ;  0,513403  ;  0,249127  ;  0,375962  ; 
18  ;  0,319359  ;  0,076425  ;  0,190430  ;  0,312817  ;  0,514063  ;  0,256177  ;  0,374100  ; 
19  ;  0,318101  ;  0,075067  ;  0,179910  ;  0,306444  ;  0,499660  ;  0,266361  ;  0,365555  ; 
20  ;  0,319054  ;  0,079100  ;  0,161629  ;  0,300014  ;  0,515705  ;  0,268654  ;  0,362387  ; 
21  ;  0,313478  ;  0,079516  ;  0,165747  ;  0,304603  ;  0,507461  ;  0,251217  ;  0,359100  ; 
22  ;  0,310080  ;  0,075876  ;  0,167708  ;  0,308768  ;  0,524167  ;  0,248654  ;  0,341668  ; 
23  ;  0,305755  ;  0,070684  ;  0,157305  ;  0,306739  ;  0,499011  ;  0,255288  ;  0,342210  ; 
24  ;  0,297939  ;  0,066487  ;  0,148502  ;  0,291440  ;  0,510718  ;  0,250660  ;  0,342391  ; 
25  ;  0,300855  ;  0,064953  ;  0,168230  ;  0,293853  ;  0,508359  ;  0,257731  ;  0,345597  ; 
26  ;  0,303801  ;  0,069106  ;  0,169474  ;  0,297042  ;  0,511194  ;  0,258317  ;  0,357798  ; 
27  ;  0,303172  ;  0,070577  ;  0,136471  ;  0,298664  ;  0,510167  ;  0,253588  ;  0,350753  ; 
28  ;  0,298377  ;  0,072935  ;  0,141388  ;  0,301229  ;  0,512903  ;  0,248014  ;  0,343733  ; 
29  ;  0,298625  ;  0,072028  ;  0,118382  ;  0,304933  ;  0,511930  ;  0,244569  ;  0,344692  ; 
30  ;  0,297189  ;  0,069740  ;  0,121433  ;  0,307462  ;  0,491146  ;  0,248326  ;  0,341708  ; 
31  ;  0,295364  ;  0,070318  ;  0,130866  ;  0,302174  ;  0,516762  ;  0,247601  ;  0,335434  ; 
32  ;  0,289493  ;  0,071172  ;  0,155271  ;  0,284047  ;  0,524039  ;  0,228345  ;  0,334392  ; 
33  ;  0,284250  ;  0,075549  ;  0,152405  ;  0,276301  ;  0,530194  ;  0,223018  ;  0,344074  ; 
34  ;  0,280221  ;  0,071078  ;  0,142026  ;  0,270094  ;  0,466231  ;  0,224532  ;  0,332864  ; 
35  ;  0,275809  ;  0,066433  ;  0,157643  ;  0,274941  ;  0,429075  ;  0,225018  ;  0,332823  ; 
