Number of Individuals

Generation ; MEAN ; STD ; MIN ; MEDIAN ; MAX ; Q1 ; Q3 ; 
0  ;  64,950000  ;  0,967920  ;  64,000000  ;  65,000000  ;  68,000000  ;  64,000000  ;  65,000000  ; 
1  ;  68,320000  ;  2,902037  ;  64,000000  ;  67,000000  ;  78,000000  ;  66,000000  ;  70,000000  ; 
2  ;  69,790000  ;  3,496882  ;  64,000000  ;  69,000000  ;  83,000000  ;  68,000000  ;  71,000000  ; 
3  ;  69,250000  ;  3,204716  ;  64,000000  ;  69,000000  ;  78,000000  ;  67,000000  ;  71,000000  ; 
4  ;  69,260000  ;  2,993663  ;  64,000000  ;  69,000000  ;  81,000000  ;  67,000000  ;  71,000000  ; 
5  ;  68,380000  ;  2,662041  ;  64,000000  ;  68,000000  ;  75,000000  ;  67,000000  ;  70,000000  ; 
6  ;  68,680000  ;  3,123324  ;  64,000000  ;  68,000000  ;  77,000000  ;  66,000000  ;  71,000000  ; 
7  ;  68,140000  ;  2,814178  ;  64,000000  ;  68,000000  ;  76,000000  ;  66,000000  ;  70,000000  ; 
8  ;  68,270000  ;  2,751877  ;  64,000000  ;  68,000000  ;  78,000000  ;  66,000000  ;  70,000000  ; 
9  ;  68,710000  ;  2,931180  ;  64,000000  ;  69,000000  ;  76,000000  ;  66,000000  ;  71,000000  ; 
10  ;  68,200000  ;  2,530621  ;  64,000000  ;  68,000000  ;  75,000000  ;  66,000000  ;  70,000000  ; 
11  ;  68,750000  ;  2,731688  ;  64,000000  ;  68,000000  ;  77,000000  ;  67,000000  ;  70,000000  ; 
12  ;  68,920000  ;  3,017391  ;  64,000000  ;  69,000000  ;  81,000000  ;  67,000000  ;  71,000000  ; 
13  ;  68,580000  ;  2,789519  ;  64,000000  ;  68,000000  ;  82,000000  ;  67,000000  ;  70,000000  ; 
14  ;  68,240000  ;  2,697249  ;  64,000000  ;  68,000000  ;  76,000000  ;  66,000000  ;  70,000000  ; 
15  ;  68,770000  ;  2,953700  ;  64,000000  ;  68,000000  ;  80,000000  ;  67,000000  ;  71,000000  ; 
16  ;  68,460000  ;  2,690875  ;  64,000000  ;  68,000000  ;  76,000000  ;  67,000000  ;  70,000000  ; 
17  ;  69,150000  ;  3,016369  ;  64,000000  ;  69,000000  ;  84,000000  ;  67,000000  ;  71,000000  ; 
18  ;  68,690000  ;  3,054042  ;  64,000000  ;  68,000000  ;  80,000000  ;  66,000000  ;  70,000000  ; 
19  ;  68,810000  ;  2,699401  ;  64,000000  ;  69,000000  ;  77,000000  ;  67,000000  ;  70,000000  ; 
20  ;  69,110000  ;  2,795722  ;  64,000000  ;  69,000000  ;  78,000000  ;  67,000000  ;  71,000000  ; 
21  ;  68,790000  ;  2,825908  ;  64,000000  ;  68,000000  ;  76,000000  ;  67,000000  ;  71,000000  ; 
22  ;  69,460000  ;  3,079486  ;  64,000000  ;  69,000000  ;  80,000000  ;  67,000000  ;  71,000000  ; 
23  ;  69,680000  ;  3,460834  ;  65,000000  ;  69,000000  ;  83,000000  ;  67,000000  ;  72,000000  ; 
24  ;  69,170000  ;  2,534828  ;  64,000000  ;  69,000000  ;  77,000000  ;  67,000000  ;  71,000000  ; 
25  ;  69,650000  ;  3,270236  ;  64,000000  ;  69,000000  ;  79,000000  ;  67,000000  ;  71,000000  ; 
26  ;  69,510000  ;  2,966122  ;  64,000000  ;  69,000000  ;  78,000000  ;  67,000000  ;  72,000000  ; 
27  ;  70,150000  ;  3,079338  ;  64,000000  ;  70,000000  ;  79,000000  ;  68,000000  ;  72,000000  ; 
28  ;  69,560000  ;  3,266976  ;  64,000000  ;  69,000000  ;  81,000000  ;  67,000000  ;  71,000000  ; 
29  ;  69,550000  ;  2,775706  ;  64,000000  ;  69,000000  ;  81,000000  ;  68,000000  ;  71,000000  ; 
30  ;  69,590000  ;  3,399629  ;  64,000000  ;  69,000000  ;  80,000000  ;  67,000000  ;  72,000000  ; 
31  ;  70,420000  ;  3,197790  ;  65,000000  ;  70,000000  ;  79,000000  ;  68,000000  ;  72,000000  ; 
32  ;  70,950000  ;  4,036137  ;  65,000000  ;  71,000000  ;  87,000000  ;  68,000000  ;  73,000000  ; 
33  ;  70,430000  ;  3,588013  ;  64,000000  ;  70,000000  ;  82,000000  ;  68,000000  ;  73,000000  ; 
