Number of Selected Genotypes

Generation ; MEAN ; STD ; MIN ; MEDIAN ; MAX ; Q1 ; Q3 ; 
0  ;  55,180000  ;  2,341458  ;  47,000000  ;  55,000000  ;  61,000000  ;  54,000000  ;  57,000000  ; 
1  ;  51,680000  ;  3,363139  ;  43,000000  ;  52,000000  ;  58,000000  ;  50,000000  ;  54,000000  ; 
2  ;  49,320000  ;  3,168277  ;  42,000000  ;  50,000000  ;  57,000000  ;  47,000000  ;  51,000000  ; 
3  ;  50,820000  ;  3,712877  ;  43,000000  ;  51,000000  ;  59,000000  ;  48,000000  ;  54,000000  ; 
4  ;  50,680000  ;  3,504341  ;  44,000000  ;  50,000000  ;  59,000000  ;  48,000000  ;  53,000000  ; 
5  ;  51,170000  ;  3,363665  ;  43,000000  ;  51,000000  ;  58,000000  ;  48,000000  ;  54,000000  ; 
6  ;  51,650000  ;  3,328405  ;  44,000000  ;  52,000000  ;  58,000000  ;  49,000000  ;  54,000000  ; 
7  ;  51,590000  ;  3,478926  ;  44,000000  ;  52,000000  ;  59,000000  ;  49,000000  ;  54,000000  ; 
8  ;  52,110000  ;  3,422726  ;  42,000000  ;  52,000000  ;  59,000000  ;  50,000000  ;  55,000000  ; 
9  ;  52,050000  ;  3,540173  ;  42,000000  ;  52,000000  ;  60,000000  ;  50,000000  ;  55,000000  ; 
10  ;  52,350000  ;  3,355607  ;  43,000000  ;  53,000000  ;  58,000000  ;  50,000000  ;  55,000000  ; 
11  ;  52,540000  ;  3,322467  ;  43,000000  ;  53,000000  ;  60,000000  ;  50,000000  ;  55,000000  ; 
12  ;  52,260000  ;  3,289469  ;  44,000000  ;  53,000000  ;  59,000000  ;  50,000000  ;  54,000000  ; 
13  ;  52,450000  ;  3,131382  ;  43,000000  ;  53,000000  ;  60,000000  ;  51,000000  ;  55,000000  ; 
14  ;  52,590000  ;  3,290927  ;  43,000000  ;  53,000000  ;  61,000000  ;  51,000000  ;  55,000000  ; 
15  ;  53,620000  ;  3,302218  ;  44,000000  ;  54,000000  ;  60,000000  ;  52,000000  ;  56,000000  ; 
16  ;  53,000000  ;  3,550501  ;  44,000000  ;  53,000000  ;  61,000000  ;  51,000000  ;  55,000000  ; 
17  ;  52,980000  ;  3,618080  ;  45,000000  ;  54,000000  ;  61,000000  ;  50,000000  ;  55,000000  ; 
18  ;  53,630000  ;  2,820040  ;  46,000000  ;  54,000000  ;  61,000000  ;  52,000000  ;  56,000000  ; 
19  ;  53,120000  ;  3,525606  ;  42,000000  ;  53,000000  ;  61,000000  ;  51,000000  ;  56,000000  ; 
20  ;  52,870000  ;  3,532404  ;  43,000000  ;  54,000000  ;  59,000000  ;  51,000000  ;  55,000000  ; 
21  ;  52,600000  ;  3,238032  ;  44,000000  ;  53,000000  ;  58,000000  ;  51,000000  ;  55,000000  ; 
22  ;  52,730000  ;  3,648315  ;  42,000000  ;  53,000000  ;  60,000000  ;  51,000000  ;  55,000000  ; 
23  ;  53,150000  ;  3,257858  ;  45,000000  ;  53,000000  ;  60,000000  ;  51,000000  ;  55,000000  ; 
24  ;  52,940000  ;  3,145688  ;  45,000000  ;  53,000000  ;  60,000000  ;  51,000000  ;  56,000000  ; 
25  ;  52,970000  ;  3,418473  ;  45,000000  ;  53,000000  ;  61,000000  ;  51,000000  ;  55,000000  ; 
26  ;  53,290000  ;  2,931180  ;  45,000000  ;  54,000000  ;  60,000000  ;  51,000000  ;  56,000000  ; 
27  ;  52,950000  ;  2,952058  ;  45,000000  ;  53,000000  ;  60,000000  ;  51,000000  ;  55,000000  ; 
28  ;  52,740000  ;  3,377346  ;  44,000000  ;  53,000000  ;  59,000000  ;  51,000000  ;  55,000000  ; 
