Number Selected Individuals

Generation ; MEAN ; STD ; MIN ; MEDIAN ; MAX ; Q1 ; Q3 ; 
0  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
1  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
2  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
3  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
4  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
5  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
6  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
7  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
8  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
9  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
10  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
11  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
12  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
13  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
14  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
15  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
16  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
17  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
18  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
19  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
20  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
21  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
22  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
23  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
24  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
25  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
26  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
27  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
28  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
29  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
30  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
31  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
32  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
33  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
34  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
35  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
36  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
37  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
38  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
39  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
40  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
41  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
42  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
43  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
44  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
45  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
46  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
47  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
48  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
49  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
50  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
51  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
52  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
53  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
54  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
55  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
56  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
57  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
58  ;  128,000000  ;  0,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ;  128,000000  ; 
