Time - simulation
;MEAN ;STD ;MIN ;MEDIAN ;MAX ;Q1 ;Q3 ;
MuGA-64;31843,310000 ; 162,169490 ; 31624,000000 ; 31858,000000 ; 32187,000000 ; 31640,000000 ; 31984,000000 ; 
SGA-64;31380,530000 ; 282,098609 ; 30531,000000 ; 31515,000000 ; 31890,000000 ; 31187,000000 ; 31531,000000 ; 
SGA-128;31175,440000 ; 143,824200 ; 30936,000000 ; 31108,000000 ; 31389,000000 ; 31061,000000 ; 31327,000000 ; 

Comparison of means - confidence 95% 

 ; MuGA-64; SGA-64; SGA-128; Score ; Rank
MuGA-64; .; -; -; -2;3
SGA-64; +; .; -; 0;2
SGA-128; +; +; .; 2;1

DATA
Time ; MuGA-64 ; SGA-64 ; SGA-128
Solver 0 ; 32187,000000 ; 31890,000000 ; 30936,000000
Solver 1 ; 32124,000000 ; 31811,000000 ; 31030,000000
Solver 2 ; 32124,000000 ; 31827,000000 ; 31046,000000
Solver 3 ; 32093,000000 ; 31811,000000 ; 30984,000000
Solver 4 ; 32093,000000 ; 31827,000000 ; 31046,000000
Solver 5 ; 32093,000000 ; 31811,000000 ; 31046,000000
Solver 6 ; 32077,000000 ; 30531,000000 ; 30968,000000
Solver 7 ; 31640,000000 ; 31796,000000 ; 31046,000000
Solver 8 ; 32077,000000 ; 30531,000000 ; 31046,000000
Solver 9 ; 31640,000000 ; 30546,000000 ; 30968,000000
Solver 10 ; 32077,000000 ; 31125,000000 ; 31062,000000
Solver 11 ; 31640,000000 ; 31125,000000 ; 31062,000000
Solver 12 ; 32077,000000 ; 31140,000000 ; 30984,000000
Solver 13 ; 31640,000000 ; 31140,000000 ; 30984,000000
Solver 14 ; 32077,000000 ; 31155,000000 ; 31000,000000
Solver 15 ; 32062,000000 ; 31155,000000 ; 31062,000000
Solver 16 ; 31624,000000 ; 31155,000000 ; 31062,000000
Solver 17 ; 32062,000000 ; 31155,000000 ; 31000,000000
Solver 18 ; 32062,000000 ; 31171,000000 ; 31062,000000
Solver 19 ; 32030,000000 ; 31171,000000 ; 31015,000000
Solver 20 ; 31624,000000 ; 31171,000000 ; 31077,000000
Solver 21 ; 32030,000000 ; 31171,000000 ; 31015,000000
Solver 22 ; 31624,000000 ; 31187,000000 ; 31061,000000
Solver 23 ; 31640,000000 ; 31187,000000 ; 31061,000000
Solver 24 ; 32030,000000 ; 31187,000000 ; 31015,000000
Solver 25 ; 32015,000000 ; 31187,000000 ; 31015,000000
Solver 26 ; 31640,000000 ; 31187,000000 ; 31015,000000
Solver 27 ; 32015,000000 ; 31187,000000 ; 31031,000000
Solver 28 ; 31640,000000 ; 31187,000000 ; 31031,000000
Solver 29 ; 32015,000000 ; 31187,000000 ; 31031,000000
Solver 30 ; 31640,000000 ; 31218,000000 ; 31077,000000
Solver 31 ; 31999,000000 ; 31218,000000 ; 31031,000000
Solver 32 ; 31984,000000 ; 31218,000000 ; 31031,000000
Solver 33 ; 31984,000000 ; 31218,000000 ; 31077,000000
Solver 34 ; 31984,000000 ; 30578,000000 ; 31077,000000
Solver 35 ; 31984,000000 ; 31218,000000 ; 31062,000000
Solver 36 ; 31984,000000 ; 31218,000000 ; 31062,000000
Solver 37 ; 31625,000000 ; 31218,000000 ; 31093,000000
Solver 38 ; 31968,000000 ; 30718,000000 ; 31093,000000
Solver 39 ; 31640,000000 ; 30656,000000 ; 31062,000000
Solver 40 ; 31968,000000 ; 31358,000000 ; 31062,000000
Solver 41 ; 31640,000000 ; 30905,000000 ; 31062,000000
Solver 42 ; 31968,000000 ; 30905,000000 ; 31093,000000
Solver 43 ; 31953,000000 ; 31312,000000 ; 31108,000000
Solver 44 ; 31624,000000 ; 31499,000000 ; 31077,000000
Solver 45 ; 31937,000000 ; 31499,000000 ; 31077,000000
Solver 46 ; 31937,000000 ; 31499,000000 ; 31077,000000
Solver 47 ; 31921,000000 ; 31515,000000 ; 31108,000000
Solver 48 ; 31624,000000 ; 31515,000000 ; 31108,000000
Solver 49 ; 31921,000000 ; 31515,000000 ; 31093,000000
Solver 50 ; 31905,000000 ; 31515,000000 ; 31093,000000
Solver 51 ; 31905,000000 ; 31500,000000 ; 31124,000000
