Time

Generation ; MEAN ; STD ; MIN ; MEDIAN ; MAX ; Q1 ; Q3 ; 
0  ;  0,000000  ;  0,000000  ;  0,000000  ;  0,000000  ;  0,000000  ;  0,000000  ;  0,000000  ; 
1  ;  765,010000  ;  86,796580  ;  628,000000  ;  769,000000  ;  909,000000  ;  675,000000  ;  847,000000  ; 
2  ;  1499,930000  ;  89,883680  ;  1316,000000  ;  1503,000000  ;  1643,000000  ;  1409,000000  ;  1581,000000  ; 
3  ;  2432,370000  ;  110,299469  ;  2205,000000  ;  2455,000000  ;  2673,000000  ;  2329,000000  ;  2532,000000  ; 
4  ;  2759,060000  ;  106,233003  ;  2564,000000  ;  2779,000000  ;  2950,000000  ;  2657,000000  ;  2842,000000  ; 
5  ;  3178,550000  ;  103,767648  ;  2976,000000  ;  3179,000000  ;  3398,000000  ;  3102,000000  ;  3273,000000  ; 
6  ;  3638,060000  ;  100,377854  ;  3469,000000  ;  3625,000000  ;  3906,000000  ;  3547,000000  ;  3735,000000  ; 
7  ;  3941,020000  ;  97,596984  ;  3750,000000  ;  3938,000000  ;  4156,000000  ;  3860,000000  ;  4031,000000  ; 
8  ;  4215,720000  ;  96,934642  ;  4041,000000  ;  4214,000000  ;  4393,000000  ;  4150,000000  ;  4307,000000  ; 
9  ;  4501,550000  ;  96,461263  ;  4334,000000  ;  4506,000000  ;  4693,000000  ;  4412,000000  ;  4593,000000  ; 
10  ;  4768,180000  ;  94,691672  ;  4608,000000  ;  4765,000000  ;  4952,000000  ;  4687,000000  ;  4843,000000  ; 
11  ;  4948,120000  ;  93,648632  ;  4780,000000  ;  4952,000000  ;  5139,000000  ;  4874,000000  ;  5015,000000  ; 
12  ;  5127,410000  ;  95,952545  ;  4956,000000  ;  5129,000000  ;  5316,000000  ;  5050,000000  ;  5207,000000  ; 
13  ;  5355,970000  ;  94,194882  ;  5191,000000  ;  5363,000000  ;  5550,000000  ;  5269,000000  ;  5426,000000  ; 
